CoC Number,CoC Name,"Total Homeless, 2010","Sheltered Homeless, 2010","Unsheltered Homeless, 2010","Homeless Individuals, 2010","Sheltered Homeless Individuals, 2010","Unsheltered Homeless Individuals, 2010","Homeless People in Families, 2010","Sheltered Homeless People in Families, 2010","Unsheltered Homeless People in Families, 2010","Chronically Homeless Individuals, 2010","Sheltered Chronically Homeless Individuals, 2010","Unsheltered Chronically Homeless Individuals, 2010"
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",234,223,11,211,200,11,23,23,0,47,47,0
NY-512,Troy/Rensselaer County CoC,314,269,45,83,38,45,231,231,0,25,2,23
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",75,75,0,42,42,0,33,33,0,4,4,0
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,88,81,7,28,21,7,60,60,0,3,3,0
NY-516,Clinton County CoC,84,76,8,63,57,6,21,19,2,5,3,2
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",343,326,17,251,234,17,92,92,0,19,14,5
NY-519,Columbia/Greene County CoC,305,301,4,161,157,4,144,144,0,5,5,0
NY-520,Franklin County CoC,14,5,9,8,5,3,6,0,6,4,1,3
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,121,120,1,103,102,1,18,18,0,4,4,0
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",186,157,29,151,122,29,35,35,0,31,8,23
NY-600,New York City CoC,"53,187","50,076","3,111","19,992","16,881","3,111","33,195","33,195",0,"3,128","1,137","1,991"
NY-601,Poughkeepsie/Dutchess County CoC,476,436,40,280,240,40,196,196,0,77,55,22
NY-602,Newburgh/Middletown/Orange County CoC,505,345,160,294,146,148,211,199,12,114,53,61
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC","3,163","3,087",76,741,665,76,"2,422","2,422",0,53,40,13
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,"1,339","1,305",34,460,426,34,879,879,0,187,176,11
NY-606,Rockland County CoC,141,89,52,93,41,52,48,48,0,55,3,52
NY-607,Sullivan County CoC,400,394,6,264,258,6,136,136,0,22,16,6
NY-608,Kingston/Ulster County CoC,440,305,135,254,147,107,186,158,28,37,6,31
OH-500,Cincinnati/Hamilton County CoC,"1,006",931,75,709,634,75,297,297,0,303,273,30
OH-501,Toledo/Lucas County CoC,986,856,130,672,549,123,314,307,7,218,176,42
OH-502,Cleveland/Cuyahoga County CoC,"2,278","2,140",138,"1,783","1,648",135,495,492,3,664,591,73
OH-503,Columbus/Franklin County CoC,"1,387","1,253",134,954,829,125,433,424,9,276,163,113
OH-504,Youngstown/Mahoning County CoC,183,179,4,97,93,4,86,86,0,13,11,2
OH-505,Dayton/Kettering/Montgomery County CoC,884,858,26,625,599,26,259,259,0,102,91,11
OH-506,Akron/Barberton/Summit County CoC,859,672,187,587,400,187,272,272,0,218,106,112
OH-507,Ohio Balance of State CoC,"4,555","3,462","1,093","2,044","1,338",706,"2,511","2,124",387,429,255,174
OH-508,Canton/Massillon/Alliance/Stark County CoC,431,378,53,248,205,43,183,173,10,17,10,7
OK-500,North Central Oklahoma CoC,323,179,144,207,112,95,116,67,49,21,8,13
OK-501,Tulsa City & County/Broken Arrow CoC,905,882,23,718,695,23,187,187,0,85,78,7
OK-502,Oklahoma City CoC,"1,128",889,239,890,665,225,238,224,14,264,163,101
OK-503,Oklahoma Balance of State CoC,324,317,7,211,204,7,113,113,0,0,0,0
OK-504,Norman/Cleveland County CoC,565,251,314,438,129,309,127,122,5,82,43,39
OK-505,Northeast Oklahoma CoC,567,243,324,214,140,74,353,103,250,73,69,4
OK-506,Southwest Oklahoma Regional CoC,272,252,20,156,139,17,116,113,3,13,7,6
OK-507,Southeastern Oklahoma Regional CoC,"1,145",302,843,483,155,328,662,147,515,82,27,55
OR-500,Eugene/Springfield/Lane County CoC,"2,580",991,"1,589","1,899",561,"1,338",681,430,251,633,179,454
OR-501,Portland-Gresham-Multnomah County CoC,"4,235","2,644","1,591","2,943","1,430","1,513","1,292","1,214",78,792,238,554
OR-502,Medford/Ashland/Jackson County CoC,922,350,572,505,236,269,417,114,303,151,22,129
OR-503,Central Oregon CoC,569,256,313,305,114,191,264,142,122,75,13,62
OR-505,Oregon Balance of State CoC,"8,814","2,606","6,208","3,579","1,232","2,347","5,235","1,374","3,861",712,220,492
OR-506,Hillsboro/Beaverton/Washington County CoC,950,248,702,514,65,449,436,183,253,145,9,136
OR-507,Clackamas County CoC,"1,422",136,"1,286",986,16,970,436,120,316,93,2,91
PA-500,Philadelphia CoC,"6,084","5,603",481,"3,077","2,596",481,"3,007","3,007",0,580,213,367
PA-501,Harrisburg/Dauphin County CoC,394,306,88,238,156,82,156,150,6,121,69,52
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,716,663,53,265,212,53,451,451,0,60,29,31
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,201,195,6,117,111,6,84,84,0,11,9,2
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,428,390,38,170,132,38,258,258,0,49,32,17
PA-505,Chester County CoC,319,312,7,156,149,7,163,163,0,46,44,2
PA-506,Reading/Berks County CoC,513,500,13,343,330,13,170,170,0,30,17,13
PA-508,Scranton/Lackawanna County CoC,285,243,42,145,103,42,140,140,0,19,10,9
PA-509,Eastern Pennsylvania CoC,"1,895","1,752",143,759,633,126,"1,136","1,119",17,131,78,53
PA-510,Lancaster City & County CoC,602,579,23,302,279,23,300,300,0,69,63,6
PA-511,Bristol/Bensalem/Bucks County CoC,474,438,36,169,133,36,305,305,0,23,18,5
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,"1,265","1,146",119,722,603,119,543,543,0,235,157,78
PA-601,Western Pennsylvania CoC,910,890,20,443,423,20,467,467,0,93,81,12
PA-603,Beaver County CoC,134,122,12,70,61,9,64,61,3,10,3,7
PA-605,Erie City & County CoC,296,279,17,215,204,11,81,75,6,47,45,2
PR-502,Puerto Rico Balance of Commonwealth CoC,"1,775",868,907,"1,597",798,799,178,70,108,"1,045",511,534
PR-503,South/Southeast Puerto Rico CoC,"2,374",536,"1,838","2,124",326,"1,798",250,210,40,"1,173",173,"1,000"
RI-500,Rhode Island Statewide CoC,"1,282","1,206",76,704,632,72,578,574,4,86,60,26
SC-500,Charleston/Low Country CoC,416,347,69,337,268,69,79,79,0,55,55,0
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,"1,164","1,008",156,753,600,153,411,408,3,210,140,70
SC-502,Columbia/Midlands CoC,"1,368",929,439,993,612,381,375,317,58,180,102,78
SC-503,Myrtle Beach/Sumter City & County CoC,"1,525",752,773,"1,111",465,646,414,287,127,229,95,134
SD-500,South Dakota Statewide CoC,731,667,64,445,381,64,286,286,0,109,45,64
TN-500,Chattanooga/Southeast Tennessee CoC,622,323,299,573,274,299,49,49,0,91,33,58
TN-501,Memphis/Shelby County CoC,"1,657","1,494",163,"1,032",869,163,625,625,0,168,43,125
TN-502,Knoxville/Knox County CoC,910,772,138,792,662,130,118,110,8,237,180,57
TN-503,Central Tennessee CoC,177,159,18,136,118,18,41,41,0,37,29,8
TN-504,Nashville/Davidson County CoC,"2,324","1,985",339,"2,098","1,759",339,226,226,0,"1,236",897,339
TN-506,Oak Ridge/Upper Cumberland CoC,635,179,456,383,104,279,252,75,177,64,19,45
TN-507,Jackson/West Tennessee CoC,"2,050",675,"1,375","1,135",227,908,915,448,467,209,24,185
TN-509,Appalachian Regional CoC,840,641,199,743,558,185,97,83,14,68,37,31
TN-510,Murfreesboro/Rutherford County CoC,219,115,104,152,62,90,67,53,14,70,10,60
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",842,656,186,579,427,152,263,229,34,315,224,91
TX-500,San Antonio/Bexar County CoC,"3,291","1,674","1,617","2,413",834,"1,579",878,840,38,602,191,411
TX-503,Austin/Travis County CoC,"2,087","1,254",833,"1,486",653,833,601,601,0,982,461,521
TX-600,Dallas City & County/Irving CoC,"3,710","3,509",201,"2,403","2,202",201,"1,307","1,307",0,514,396,118
TX-601,Fort Worth/Arlington/Tarrant County CoC,"2,181","1,986",195,"1,299","1,104",195,882,882,0,209,147,62
TX-603,El Paso City & County CoC,"1,260",964,296,768,478,290,492,486,6,205,69,136
TX-604,Waco/McLennan County CoC,312,226,86,231,151,80,81,75,6,48,29,19
TX-607,Texas Balance of State (BoS) CoC,"14,827","4,366","10,461","10,142","2,471","7,671","4,685","1,895","2,790","2,039",523,"1,516"
TX-611,Amarillo CoC,578,547,31,410,379,31,168,168,0,84,78,6
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",242,235,7,215,208,7,27,27,0,190,183,7
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","6,368","4,249","2,119","4,488","2,623","1,865","1,880","1,626",254,"1,581",455,"1,126"
TX-701,Bryan/College Station/Brazos Valley CoC,265,181,84,223,146,77,42,35,7,58,45,13
UT-500,Salt Lake City & County CoC,"1,968","1,739",229,"1,191",965,226,777,774,3,200,91,109
UT-503,Utah Balance of State CoC,952,820,132,465,353,112,487,467,20,104,22,82
UT-504,Provo/Mountainland CoC,364,163,201,270,75,195,94,88,6,102,12,90
VA-500,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","1,012",962,50,800,750,50,212,212,0,92,75,17
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",625,541,84,428,352,76,197,189,8,103,72,31
VA-502,Roanoke City & County/Salem CoC,518,500,18,395,377,18,123,123,0,118,108,10
VA-503,Virginia Beach CoC,517,435,82,251,169,82,266,266,0,75,39,36
VA-504,Charlottesville CoC,228,201,27,168,149,19,60,52,8,117,105,12
VA-505,Newport News/Hampton/Virginia Peninsula CoC,607,573,34,448,414,34,159,159,0,104,93,11
VA-507,Portsmouth CoC,210,178,32,147,115,32,63,63,0,40,36,4
VA-508,Lynchburg CoC,255,211,44,133,89,44,122,122,0,53,30,23
VA-513,"Harrisburg, Winchester/Western Virginia CoC",448,359,89,231,180,51,217,179,38,76,58,18
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",288,160,128,224,101,123,64,59,5,83,37,46
VA-521,Virginia Balance of State (BoS) CoC,"1,261",801,460,632,305,327,629,496,133,117,50,67
VA-600,Arlington County CoC,535,312,223,351,128,223,184,184,0,119,40,79
VA-601,Fairfax County CoC,"1,552","1,412",140,660,520,140,892,892,0,248,145,103
VA-602,Loudoun County CoC,157,121,36,71,44,27,86,77,9,21,12,9
VA-603,City of Alexandria CoC,359,321,38,208,170,38,151,151,0,80,55,25
VA-604,Prince William County CoC,508,352,156,191,103,88,317,249,68,64,28,36
VI-500,Virgin Islands CoC,487,92,395,468,73,395,19,19,0,385,20,365
VT-500,Vermont Balance of State CoC,607,528,79,428,361,67,179,167,12,85,59,26
VT-501,Burlington/Chittenden County CoC,613,550,63,369,311,58,244,239,5,48,26,22
WA-500,Seattle/King County CoC,"9,022","6,222","2,800","5,608","2,849","2,759","3,414","3,373",41,903,654,249
WA-501,Washington Balance of State CoC,"7,178","4,838","2,340","3,377","1,858","1,519","3,801","2,980",821,373,116,257
WA-502,Spokane City & County CoC,"1,242","1,070",172,659,510,149,583,560,23,224,136,88
WA-503,Tacoma/Lakewood/Pierce County CoC,"1,807","1,637",170,697,544,153,"1,110","1,093",17,160,59,101
WA-504,Everett/Snohomish County CoC,"2,018","1,403",615,805,354,451,"1,213","1,049",164,238,173,65
WA-507,Yakima City & County CoC,507,424,83,255,194,61,252,230,22,44,29,15
WA-508,Vancouver/Clark County CoC,"1,104",895,209,500,396,104,604,499,105,164,114,50
WI-500,Wisconsin Balance of State CoC,"3,992","3,207",785,"1,588","1,335",253,"2,404","1,872",532,254,219,35
WI-501,Milwaukee City & County CoC,"1,537","1,317",220,974,826,148,563,491,72,314,258,56
WI-502,Racine City & County CoC,236,230,6,158,154,4,78,76,2,15,15,0
WI-503,Madison/Dane County CoC,568,499,69,320,283,37,248,216,32,144,116,28
WV-500,Wheeling/Weirton Area CoC,197,149,48,159,120,39,38,29,9,31,15,16
WV-501,"Huntington/Cabell, Wayne Counties CoC",286,243,43,194,151,43,92,92,0,80,53,27
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",406,374,32,286,254,32,120,120,0,49,29,20
WV-508,West Virginia Balance of State CoC,"1,375",758,617,888,523,365,487,235,252,356,261,95
WY-500,Wyoming Statewide CoC,579,515,64,327,269,58,252,246,6,101,52,49
,Total,"637,077","403,543","233,534","395,140","212,218","182,922","241,937","191,325","50,612","106,062","43,329","62,733"
,,,,,,,,,,,,,
"a MO-604 covers territory in both Missouri and Kansas. The record described in this file represents the CoC's total territory, the sum of the point-in-time estimates the CoC separately reported for the portions of its territory in MO and in KS. However, in the companion file, Point-in-Time Estimates by State, MO-604's data have been split up between MO and KS.",,,,,,,,,,,,,
,,,,,,,,,,,,,
