CoC Number,CoC Name,"Total Homeless, 2011","Sheltered Homeless, 2011","Unsheltered Homeless, 2011","Homeless Individuals, 2011","Sheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals, 2011","Homeless People in Families, 2011","Sheltered Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Chronically Homeless, 2011","Sheltered Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Chronically Homeless Individuals, 2011","Sheltered Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Chronically Homeless People in Families, 2011","Sheltered Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Homeless Veterans, 2011","Sheltered Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
IN-500,South Bend/Mishawaka/St. Joseph County CoC,613,580,33,407,374,33,206,206,0,64,56,8,64,56,8,0,0,0,46,42,4
IN-502,Indiana Balance of State CoC,"3,996","3,497",499,"2,189","1,803",386,"1,807","1,694",113,370,249,121,370,249,121,0,0,0,406,352,54
IN-503,Indianapolis CoC,"1,587","1,473",114,"1,193","1,079",114,394,394,0,168,120,48,168,120,48,0,0,0,262,244,18
KS-502,Wichita/Sedgwick County CoC,634,526,108,454,351,103,180,175,5,141,91,50,128,85,43,13,6,7,68,47,21
KS-503,Topeka/Shawnee County CoC,336,315,21,191,174,17,145,141,4,101,95,6,69,65,4,32,30,2,43,41,2
KS-505,Overland Park/Shawnee/Johnson County CoC,315,247,68,55,32,23,260,215,45,4,3,1,2,1,1,2,2,0,6,4,2
KS-507,Kansas Balance of State CoC,"1,023",962,61,596,545,51,427,417,10,70,55,15,59,46,13,11,9,2,214,202,12
KY-500,Kentucky Balance of State CoC,"2,834","2,133",701,"1,496",968,528,"1,338","1,165",173,310,182,128,211,139,72,99,43,56,160,117,43
KY-501,Louisville/Jefferson County CoC,"1,628","1,536",92,"1,242","1,154",88,386,382,4,261,201,60,258,198,60,3,3,0,314,303,11
KY-502,Lexington/Fayette County CoC,"1,572","1,514",58,"1,104","1,048",56,468,466,2,213,194,19,190,171,19,23,23,0,162,159,3
LA-500,Lafayette/Acadiana CoC,577,485,92,383,291,92,194,194,0,35,14,21,35,14,21,0,0,0,39,34,5
LA-502,Shreveport/Bossier/Northwest CoC,733,577,156,471,315,156,262,262,0,94,14,80,94,14,80,0,0,0,162,122,40
LA-503,New Orleans/Jefferson Parish CoC,"6,687","1,313","5,374","6,125",849,"5,276",562,464,98,"4,087",23,"4,064","4,010",20,"3,990",77,3,74,515,95,420
LA-504,Baton Rouge CoC,501,350,151,446,314,132,55,36,19,110,38,72,110,38,72,0,0,0,125,103,22
LA-505,Monroe/Northeast Louisiana CoC,227,197,30,116,86,30,111,111,0,30,24,6,30,24,6,0,0,0,12,8,4
LA-506,Slidell/Southeast Louisiana CoC,281,241,40,175,155,20,106,86,20,29,23,6,29,23,6,0,0,0,58,54,4
LA-507,Alexandria/Central Louisiana CoC,208,173,35,162,127,35,46,46,0,27,11,16,27,11,16,0,0,0,21,9,12
LA-508,Houma-Terrebonne/Thibodaux CoC,32,25,7,20,18,2,12,7,5,13,11,2,11,9,2,2,2,0,13,13,0
LA-509,Louisiana Balance of State,45,44,1,43,42,1,2,2,0,8,7,1,6,5,1,2,2,0,5,5,0
MA-500,Boston CoC,"5,476","5,294",182,"2,550","2,368",182,"2,926","2,926",0,618,534,84,501,417,84,117,117,0,426,404,22
MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC","1,541","1,504",37,487,450,37,"1,054","1,054",0,134,103,31,83,52,31,51,51,0,191,189,2
MA-502,Lynn CoC,531,502,29,151,122,29,380,380,0,149,140,9,149,140,9,0,0,0,15,15,0
MA-503,Cape Cod/Islands CoC,480,353,127,269,168,101,211,185,26,111,49,62,105,43,62,6,6,0,42,35,7
MA-504,Springfield CoC,"1,025","1,020",5,291,286,5,734,734,0,184,180,4,110,106,4,74,74,0,30,27,3
MA-505,New Bedford CoC,351,342,9,257,248,9,94,94,0,12,9,3,7,4,3,5,5,0,50,50,0
MA-506,Worcester City & County CoC,"1,315","1,264",51,396,348,48,919,916,3,34,12,22,22,3,19,12,9,3,132,126,6
MA-507,Pittsfield/Berkshire County CoC,192,170,22,151,131,20,41,39,2,54,47,7,54,47,7,0,0,0,70,70,0
MA-508,Lowell CoC,589,546,43,209,166,43,380,380,0,35,22,13,17,4,13,18,18,0,74,72,2
MA-509,Cambridge CoC,471,419,52,346,294,52,125,125,0,170,124,46,170,124,46,0,0,0,41,36,5
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,886,848,38,254,216,38,632,632,0,151,130,21,141,120,21,10,10,0,74,73,1
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,"1,468","1,450",18,400,382,18,"1,068","1,068",0,197,183,14,132,118,14,65,65,0,96,95,1
MA-515,Fall River CoC,288,277,11,100,89,11,188,188,0,45,38,7,45,38,7,0,0,0,6,3,3
MA-516,Massachusetts Balance of State,"1,499","1,461",38,271,233,38,"1,228","1,228",0,109,96,13,72,59,13,37,37,0,12,10,2
MA-517,Somerville CoC,137,132,5,80,75,5,57,57,0,28,23,5,28,23,5,0,0,0,1,1,0
MA-518,Brookline/Newton CoC,191,190,1,57,56,1,134,134,0,13,13,0,13,13,0,0,0,0,3,3,0
MA-519,Attleboro/Taunton/Bristol County CoC,224,189,35,75,40,35,149,149,0,17,8,9,17,8,9,0,0,0,5,1,4
MD-500,Cumberland/Allegany County CoC,123,85,38,64,46,18,59,39,20,22,10,12,22,10,12,0,0,0,9,6,3
MD-501,Baltimore City CoC,"4,094","2,299","1,795","3,160","1,778","1,382",934,521,413,519,211,308,519,211,308,0,0,0,342,316,26
MD-502,Harford County CoC,243,225,18,122,104,18,121,121,0,36,28,8,31,23,8,5,5,0,9,9,0
MD-503,Annapolis/Anne Arundel County CoC,382,312,70,229,159,70,153,153,0,53,29,24,51,27,24,2,2,0,27,21,6
MD-504,Howard County CoC,189,133,56,94,38,56,95,95,0,52,8,44,48,8,40,4,0,4,12,6,6
MD-505,Baltimore County CoC,881,494,387,472,185,287,409,309,100,191,102,89,145,62,83,46,40,6,70,26,44
MD-506,Carroll County CoC,179,157,22,112,90,22,67,67,0,25,22,3,22,19,3,3,3,0,6,6,0
MD-507,Cecil County CoC,220,196,24,166,155,11,54,41,13,28,23,5,28,23,5,0,0,0,101,100,1
MD-508,"Charles, Calvert, St.Mary's Counties CoC","1,153",348,805,256,163,93,897,185,712,200,82,118,111,54,57,89,28,61,9,3,6
MD-509,Frederick City & County CoC,248,204,44,137,93,44,111,111,0,88,49,39,88,49,39,0,0,0,7,5,2
MD-510,Garrett County CoC,35,33,2,35,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MD-511,Mid-Shore Regional CoC,85,76,9,54,48,6,31,28,3,12,12,0,12,12,0,0,0,0,1,1,0
MD-512,Hagerstown/Washington County CoC,210,134,76,87,66,21,123,68,55,42,33,9,28,26,2,14,7,7,14,11,3
