CoC Number,CoC Name,"Total Homeless, 2008","Sheltered Homeless, 2008","Unsheltered Homeless, 2008","Homeless Individuals, 2008","Sheltered Homeless Individuals, 2008","Unsheltered Homeless Individuals, 2008","Homeless People in Families, 2008","Sheltered Homeless People in Families, 2008","Unsheltered Homeless People in Families, 2008","Chronically Homeless Individuals, 2008","Sheltered Chronically Homeless Individuals, 2008","Unsheltered Chronically Homeless Individuals, 2008"
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","3,734","2,366","1,368","1,797","1,056",741,"1,937","1,310",627,"1,070",430,640
FL-508,"Gainesville/Alachua, Putnam Counties CoC",744,279,465,590,174,416,154,105,49,199,20,179
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","1,503",298,"1,205",747,60,687,756,238,518,163,26,137
FL-510,"Jacksonville-Duval, Clay Counties CoC","2,585","1,492","1,093","1,833",740,"1,093",752,752,0,621,391,230
FL-511,Pensacola/Escambia/Santa Rosa County CoC,"1,028",375,653,786,246,540,242,129,113,170,26,144
FL-512,Saint Johns County CoC,"1,238",106,"1,132","1,099",36,"1,063",139,70,69,119,0,119
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,899",502,"1,397","1,532",301,"1,231",367,201,166,576,25,551
FL-514,Ocala/Marion County CoC,480,312,168,348,180,168,132,132,0,7,7,0
FL-515,"Panama City/Bay, Jackson Counties CoC",313,211,102,269,167,102,44,44,0,30,0,30
FL-517,"Hendry, Hardee, Highlands Counties CoC","2,968",101,"2,867","1,119",63,"1,056","1,849",38,"1,811",505,8,497
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",282,92,190,180,54,126,102,38,64,75,17,58
FL-519,Pasco County CoC,"4,074","1,500","2,574","1,178",432,746,"2,896","1,068","1,828",894,336,558
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC","1,104",216,888,586,167,419,518,49,469,21,3,18
FL-600,Miami/Dade County CoC,"4,574","3,227","1,347","3,352","2,007","1,345","1,222","1,220",2,461,260,201
FL-601,Ft Lauderdale/Broward County CoC,"3,154","2,453",701,"2,451","1,814",637,703,639,64,222,59,163
FL-602,Punta Gorda/Charlotte County CoC,730,450,280,635,362,273,95,88,7,273,0,273
FL-603,Ft Myers/Cape Coral/Lee County CoC,899,386,513,847,348,499,52,38,14,184,21,163
FL-604,Monroe County CoC,"1,121",477,644,"1,017",410,607,104,67,37,289,120,169
FL-605,West Palm Beach/Palm Beach County CoC,"1,766",727,"1,039","1,302",314,988,464,413,51,329,34,295
FL-606,Naples/Collier County CoC,289,160,129,198,110,88,91,50,41,20,9,11
GA-500,Atlanta Continuum of Care,"6,840","4,725","2,115","5,622","3,551","2,071","1,218","1,174",44,"1,232",577,655
GA-501,Georgia Balance of State CoC,"9,340","2,267","7,073","5,896",959,"4,937","3,444","1,308","2,136",725,178,547
GA-503,Athens/Clarke County CoC,462,303,159,308,161,147,154,142,12,108,45,63
GA-504,Augusta CoC,528,496,32,393,365,28,135,131,4,149,149,0
GA-505,Columbus-Muscogee/Russell County CoC,618,244,374,559,185,374,59,59,0,99,43,56
GA-506,Marietta/Cobb County CoC,537,329,208,346,160,186,191,169,22,154,45,109
GA-507,Savannah/Chatham County CoC,770,501,269,604,335,269,166,166,0,204,0,204
