CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
AK-500,Anchorage CoC,"1,208","1,029",179,837,679,158,371,350,21,127,27,100,106,27,79,21,0,21,130,108,22,106,83,23,12,9,3,94,74,20,15,15,0,0,0,0,15,15,0,16,16,0
AK-501,Alaska Balance of State CoC,748,610,138,505,405,100,243,205,38,95,54,41,76,43,33,19,11,8,50,41,9,49,40,9,12,9,3,37,31,6,3,3,0,0,0,0,3,3,0,5,5,0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC","1,153",916,237,886,661,225,267,255,12,241,35,206,239,35,204,2,0,2,144,133,11,77,56,21,9,9,0,68,47,21,10,10,0,4,4,0,6,6,0,13,13,0
AL-501,Mobile City & County/Baldwin County CoC,578,364,214,470,277,193,108,87,21,107,25,82,92,23,69,15,2,13,94,66,28,29,20,9,1,1,0,28,19,9,3,3,0,0,0,0,3,3,0,6,6,0
AL-502,Florence/Northwest Alabama CoC,245,214,31,158,133,25,87,81,6,28,14,14,18,7,11,10,7,3,16,11,5,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-503,Huntsville/North Alabama CoC,420,357,63,300,241,59,120,116,4,119,83,36,117,81,36,2,2,0,39,33,6,20,15,5,3,3,0,17,12,5,1,1,0,1,1,0,0,0,0,1,1,0
AL-504,Montgomery City & County CoC,441,373,68,333,280,53,108,93,15,24,2,22,24,2,22,0,0,0,40,35,5,22,21,1,2,2,0,20,19,1,4,3,1,0,0,0,4,3,1,7,4,3
AL-505,Gadsden/Northeast Alabama CoC,156,103,53,140,87,53,16,16,0,2,2,0,2,2,0,0,0,0,11,9,2,36,20,16,14,9,5,22,11,11,1,1,0,0,0,0,1,1,0,1,1,0
AL-506,Tuscaloosa City & County CoC,339,144,195,188,126,62,151,18,133,50,0,50,40,0,40,10,0,10,81,77,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL-507,Alabama Balance of State CoC,638,472,166,393,271,122,245,201,44,36,7,29,25,7,18,11,0,11,49,35,14,39,31,8,3,3,0,36,28,8,6,3,3,0,0,0,6,3,3,7,4,3
AR-500,Little Rock/Central Arkansas CoC,830,491,339,764,430,334,66,61,5,220,78,142,215,75,140,5,3,2,190,153,37,41,30,11,0,0,0,41,30,11,0,0,0,0,0,0,0,0,0,0,0,0
AR-501,Fayetteville/Northwest Arkansas CoC,665,604,61,330,273,57,335,331,4,202,172,30,118,92,26,84,80,4,197,186,11,38,27,11,0,0,0,38,27,11,22,22,0,0,0,0,22,22,0,20,20,0
AR-503,Arkansas  Balance of State  CoC,728,363,365,486,239,247,242,124,118,99,32,67,91,30,61,8,2,6,22,14,8,81,20,61,0,0,0,81,20,61,0,0,0,0,0,0,0,0,0,0,0,0
AR-504,Delta Hills CoC,40,40,0,33,33,0,7,7,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR-505,Southeast Arkansas,72,71,1,51,50,1,21,21,0,2,2,0,2,2,0,0,0,0,2,2,0,6,5,1,0,0,0,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0
AR-508,Old Fort Homeless Coalition,179,87,92,150,58,92,29,29,0,90,34,56,90,34,56,0,0,0,33,18,15,17,11,6,0,0,0,17,11,6,0,0,0,0,0,0,0,0,0,0,0,0
AR-512,"Boone, Baxter, Marion, Newton Counties CoC",46,22,24,19,6,13,27,16,11,10,1,9,8,1,7,2,0,2,0,0,0,5,2,3,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0
AZ-500,Arizona Balance of State CoC,"2,402","1,097","1,305","1,723",633,"1,090",679,464,215,542,20,522,475,20,455,67,0,67,516,107,409,115,63,52,20,16,4,95,47,48,15,6,9,6,6,0,9,0,9,21,14,7
AZ-501,Tucson/Pima County CoC,"1,863","1,500",363,"1,296",951,345,567,549,18,344,102,242,328,92,236,16,10,6,285,246,39,126,103,23,9,9,0,117,94,23,40,39,1,0,0,0,40,39,1,51,49,2
AZ-502,Phoenix/Mesa/Maricopa County Regional CoC,"5,631","4,342","1,289","3,529","2,240","1,289","2,102","2,102",0,480,222,258,443,185,258,37,37,0,419,319,100,380,284,96,54,54,0,326,230,96,111,111,0,0,0,0,111,111,0,122,122,0
CA-500,San Jose/Santa Clara City & County CoC,"6,556","1,929","4,627","5,648","1,084","4,564",908,845,63,"2,207",189,"2,018","2,169",184,"1,985",38,5,33,703,257,446,882,102,780,59,18,41,823,84,739,40,34,6,0,0,0,40,34,6,51,45,6
CA-501,San Francisco CoC,"6,775","2,417","4,358","6,175","1,850","4,325",600,567,33,"1,629",415,"1,214","1,574",385,"1,189",55,30,25,557,205,352,"1,473",110,"1,363",125,6,119,"1,348",104,"1,244",41,36,5,0,0,0,41,36,5,115,100,15
CA-502,Oakland/Alameda County CoC,"4,040","1,643","2,397","3,055",902,"2,153",985,741,244,750,211,539,660,159,501,90,52,38,388,157,231,299,228,71,13,13,0,286,215,71,70,70,0,0,0,0,70,70,0,80,80,0
CA-503,Sacramento City & County CoC,"2,659","1,711",948,"1,925","1,014",911,734,697,37,502,184,318,466,153,313,36,31,5,313,171,142,246,96,150,7,3,4,239,93,146,60,60,0,0,0,0,60,60,0,74,74,0
CA-504,Santa Rosa/Petaluma/Sonoma County CoC,"3,097","1,037","2,060","2,730",693,"2,037",367,344,23,702,114,588,702,114,588,0,0,0,215,79,136,678,37,641,48,0,48,630,37,593,1,1,0,0,0,0,1,1,0,1,1,0
CA-505,Richmond/Contra Costa County CoC,"2,031",704,"1,327","1,634",386,"1,248",397,318,79,621,212,409,551,174,377,70,38,32,122,44,78,140,43,97,0,0,0,140,43,97,19,13,6,0,0,0,19,13,6,32,21,11
CA-506,"Salinas/Monterey, San Benito Counties CoC","2,959",852,"2,107","2,506",412,"2,094",453,440,13,598,36,562,598,36,562,0,0,0,176,55,121,324,52,272,46,0,46,278,52,226,21,21,0,0,0,0,21,21,0,24,24,0
CA-507,Marin County CoC,"1,318",483,835,"1,115",289,826,203,194,9,281,48,233,263,30,233,18,18,0,66,25,41,367,16,351,6,0,6,361,16,345,0,0,0,0,0,0,0,0,0,0,0,0
CA-508,Watsonville/Santa Cruz City & County CoC,"1,964",610,"1,354","1,483",335,"1,148",481,275,206,582,165,417,512,137,375,70,28,42,151,38,113,270,21,249,28,0,28,242,21,221,25,11,14,0,0,0,25,11,14,34,13,21
CA-509,Mendocino County CoC,947,152,795,818,112,706,129,40,89,112,35,77,106,33,73,6,2,4,39,10,29,92,21,71,0,0,0,92,21,71,4,2,2,0,0,0,4,2,2,3,2,1
CA-510,Turlock/Modesto/Stanislaus County CoC,"1,408",725,683,"1,135",522,613,273,203,70,59,17,42,43,17,26,16,0,16,102,47,55,91,43,48,19,17,2,72,26,46,8,8,0,0,0,0,8,8,0,6,6,0
CA-511,Stockton/San Joaquin County CoC,"1,708","1,173",535,957,470,487,751,703,48,293,83,210,271,61,210,22,22,0,144,83,61,42,29,13,1,1,0,41,28,13,18,18,0,1,1,0,17,17,0,32,32,0
CA-512,Daly/San Mateo County CoC,"1,483",708,775,967,307,660,516,401,115,319,86,233,313,83,230,6,3,3,183,93,90,44,18,26,5,5,0,39,13,26,17,14,3,0,0,0,17,14,3,26,21,5
CA-513,"Visalia, Kings, Tulare Counties CoC",862,417,445,725,283,442,137,134,3,349,23,326,338,12,326,11,11,0,51,11,40,66,42,24,1,1,0,65,41,24,5,3,2,0,0,0,5,3,2,4,3,1
CA-514,Fresno/Madera County CoC,"1,722",539,"1,183","1,410",234,"1,176",312,305,7,368,23,345,366,21,345,2,2,0,227,87,140,136,44,92,3,3,0,133,41,92,35,35,0,0,0,0,35,35,0,38,38,0
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",796,297,499,611,187,424,185,110,75,334,97,237,290,70,220,44,27,17,64,21,43,62,21,41,7,6,1,55,15,40,3,3,0,0,0,0,3,3,0,4,4,0
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",591,244,347,504,176,328,87,68,19,298,75,223,286,68,218,12,7,5,87,39,48,21,8,13,0,0,0,21,8,13,0,0,0,0,0,0,0,0,0,0,0,0
CA-517,Napa City & County CoC,293,179,114,226,112,114,67,67,0,132,55,77,125,48,77,7,7,0,19,11,8,17,15,2,0,0,0,17,15,2,4,4,0,0,0,0,4,4,0,4,4,0
CA-518,Vallejo/Solano County CoC,"1,082",287,795,968,190,778,114,97,17,227,9,218,223,9,214,4,0,4,89,24,65,120,12,108,9,0,9,111,12,99,3,2,1,0,0,0,3,2,1,3,2,1
CA-519,Chico/Paradise/Butte County CoC,571,286,285,472,189,283,99,97,2,257,51,206,250,44,206,7,7,0,50,23,27,57,21,36,0,0,0,57,21,36,7,7,0,0,0,0,7,7,0,10,10,0
CA-520,Merced City & County CoC,898,155,743,863,120,743,35,35,0,221,35,186,221,35,186,0,0,0,88,14,74,61,2,59,0,0,0,61,2,59,1,1,0,0,0,0,1,1,0,2,2,0
CA-521,Davis/Woodland/Yolo County CoC,498,305,193,362,179,183,136,126,10,87,43,44,82,38,44,5,5,0,44,28,16,45,14,31,3,0,3,42,14,28,0,0,0,0,0,0,0,0,0,0,0,0
CA-522,Humboldt County CoC,"1,180",244,936,"1,022",133,889,158,111,47,392,15,377,372,10,362,20,5,15,145,53,92,116,32,84,29,25,4,87,7,80,4,4,0,0,0,0,4,4,0,3,3,0
CA-523,"Colusa, Glenn, Trinity Counties CoC",136,56,80,80,13,67,56,43,13,35,5,30,32,2,30,3,3,0,10,3,7,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
CA-524,Yuba City & County/Sutter County CoC,716,205,511,420,108,312,296,97,199,198,0,198,39,0,39,159,0,159,113,93,20,66,0,66,22,0,22,44,0,44,4,0,4,0,0,0,4,0,4,15,0,15
CA-525,El Dorado County CoC,269,121,148,157,65,92,112,56,56,104,13,91,58,8,50,46,5,41,20,9,11,17,12,5,6,6,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",430,128,302,337,61,276,93,67,26,101,4,97,98,4,94,3,0,3,47,13,34,35,4,31,0,0,0,35,4,31,8,5,3,0,0,0,8,5,3,13,7,6
CA-527,Tehama County CoC,138,78,60,115,60,55,23,18,5,34,11,23,30,9,21,4,2,2,15,7,8,9,5,4,0,0,0,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0
CA-529,Lake County CoC,315,27,288,211,3,208,104,24,80,0,0,0,0,0,0,0,0,0,21,0,21,6,1,5,1,0,1,5,1,4,4,4,0,0,0,0,4,4,0,5,5,0
CA-600,Los Angeles City & County CoC,"41,174","12,226","28,948","33,669","7,619","26,050","7,505","4,607","2,898","14,173","1,798","12,375","12,356","1,373","10,983","1,817",425,"1,392","4,016","1,253","2,763","2,670",762,"1,908",280,48,232,"2,390",714,"1,676",199,199,0,6,6,0,193,193,0,232,232,0
CA-601,San Diego City and County CoC,"8,742","4,586","4,156","6,761","2,849","3,912","1,981","1,737",244,"1,689",340,"1,349","1,547",298,"1,249",142,42,100,"1,381",750,631,625,273,352,59,29,30,566,244,322,119,110,9,0,0,0,119,110,9,165,156,9
CA-602,Santa Ana/Anaheim/Orange County CoC,"4,452","2,251","2,201","3,073",878,"2,195","1,379","1,373",6,580,133,447,558,111,447,22,22,0,447,91,356,184,79,105,15,13,2,169,66,103,43,43,0,0,0,0,43,43,0,50,50,0
CA-603,Santa Maria/Santa Barbara County CoC,"1,729",839,890,"1,393",585,808,336,254,82,374,43,331,347,43,304,27,0,27,128,49,79,115,57,58,5,3,2,110,54,56,3,3,0,0,0,0,3,3,0,6,6,0
CA-604,Bakersfield/Kern County CoC,954,545,409,733,344,389,221,201,20,167,36,131,161,30,131,6,6,0,92,61,31,52,22,30,0,0,0,52,22,30,6,5,1,0,0,0,6,5,1,8,7,1
CA-606,Long Beach CoC,"2,345",832,"1,513","1,937",576,"1,361",408,256,152,953,204,749,905,191,714,48,13,35,308,214,94,80,30,50,1,0,1,79,30,49,20,17,3,0,0,0,20,17,3,34,31,3
CA-607,Pasadena CoC,632,190,442,517,94,423,115,96,19,198,16,182,183,7,176,15,9,6,36,4,32,38,3,35,4,0,4,34,3,31,4,1,3,0,0,0,4,1,3,5,1,4
CA-608,Riverside City & County CoC,"2,372",884,"1,488","2,066",604,"1,462",306,280,26,532,113,419,490,89,401,42,24,18,223,121,102,119,57,62,15,11,4,104,46,58,6,6,0,4,4,0,2,2,0,13,13,0
CA-609,San Bernardino City & County CoC,"2,149",838,"1,311","1,524",305,"1,219",625,533,92,564,77,487,498,34,464,66,43,23,176,31,145,179,65,114,22,15,7,157,50,107,20,15,5,0,0,0,20,15,5,35,28,7
CA-611,Oxnard/San Buenaventura/Ventura County CoC,"1,417",460,957,"1,084",274,810,333,186,147,523,18,505,469,18,451,54,0,54,103,16,87,140,57,83,39,37,2,101,20,81,11,5,6,0,0,0,11,5,6,13,7,6
CA-612,Glendale CoC,208,86,122,133,13,120,75,73,2,69,18,51,57,8,49,12,10,2,6,1,5,6,2,4,0,0,0,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0
CA-613,Imperial County CoC,554,190,364,432,90,342,122,100,22,179,20,159,162,16,146,17,4,13,8,1,7,21,1,20,0,0,0,21,1,20,9,5,4,0,0,0,9,5,4,8,6,2
CA-614,San Luis Obispo County CoC,"1,515",392,"1,123","1,157",119,"1,038",358,273,85,415,6,409,388,6,382,27,0,27,130,17,113,394,5,389,14,0,14,380,5,375,12,5,7,0,0,0,12,5,7,12,5,7
CA-615,"Inyo, Mono, Alpine Counties CoC",53,8,45,46,4,42,7,4,3,19,1,18,19,1,18,0,0,0,8,0,8,7,2,5,0,0,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,0
CO-500,Colorado Balance of State CoC,"3,545","1,714","1,831","1,905",819,"1,086","1,640",895,745,744,223,521,605,201,404,139,22,117,295,137,158,204,75,129,6,2,4,198,73,125,69,50,19,1,0,1,68,50,18,75,53,22
CO-503,Metropolitan Denver Homeless Initiative,"5,335","4,590",745,"3,039","2,375",664,"2,296","2,215",81,842,520,322,692,427,265,150,93,57,494,400,94,286,231,55,75,72,3,211,159,52,94,88,6,0,0,0,94,88,6,139,132,7
CO-504,Colorado Springs/El Paso County CoC,"1,073",830,243,785,545,240,288,285,3,291,139,152,275,126,149,16,13,3,161,107,54,76,54,22,1,0,1,75,54,21,8,8,0,0,0,0,8,8,0,12,12,0
CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,913,773,140,547,417,130,366,356,10,127,59,68,116,50,66,11,9,2,61,52,9,45,34,11,11,11,0,34,23,11,17,16,1,0,0,0,17,16,1,27,26,1
CT-505,Connecticut Balance of State CoC,"3,134","2,648",486,"2,172","1,707",465,962,941,21,456,219,237,422,190,232,34,29,5,221,189,32,79,58,21,0,0,0,79,58,21,26,25,1,0,0,0,26,25,1,38,37,1
DC-500,District of Columbia CoC,"7,298","6,754",544,"3,821","3,277",544,"3,477","3,477",0,"1,790","1,470",320,"1,593","1,273",320,197,197,0,408,366,42,200,183,17,7,7,0,193,176,17,366,366,0,0,0,0,366,366,0,544,544,0
DE-500,Delaware Statewide CoC,953,916,37,602,565,37,351,351,0,80,75,5,64,59,5,16,16,0,79,74,5,57,56,1,3,3,0,54,53,1,21,21,0,0,0,0,21,21,0,41,41,0
FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC","1,198",721,477,978,523,455,220,198,22,219,40,179,215,36,179,4,4,0,152,95,57,84,56,28,15,13,2,69,43,26,31,28,3,4,4,0,27,24,3,37,35,2
FL-501,Tampa/Hillsborough County CoC,"1,931","1,175",756,"1,363",668,695,568,507,61,315,98,217,303,96,207,12,2,10,313,161,152,90,42,48,0,0,0,90,42,48,38,37,1,0,0,0,38,37,1,56,55,1
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,"3,387","2,215","1,172","2,903","1,735","1,168",484,480,4,633,117,516,631,115,516,2,2,0,589,447,142,201,170,31,74,74,0,127,96,31,23,23,0,1,1,0,22,22,0,29,29,0
FL-503,Lakeland/Winter Haven/Polk County CoC,464,227,237,348,142,206,116,85,31,100,8,92,87,8,79,13,0,13,44,14,30,13,9,4,0,0,0,13,9,4,4,4,0,0,0,0,4,4,0,6,6,0
FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC","1,325",550,775,930,311,619,395,239,156,301,32,269,246,32,214,55,0,55,110,26,84,40,18,22,0,0,0,40,18,22,2,0,2,0,0,0,2,0,2,4,0,4
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",683,272,411,566,155,411,117,117,0,305,54,251,274,23,251,31,31,0,117,50,67,104,37,67,0,0,0,104,37,67,0,0,0,0,0,0,0,0,0,0,0,0
FL-506,Tallahassee/Leon County CoC,863,646,217,625,410,215,238,236,2,134,45,89,129,40,89,5,5,0,113,86,27,57,39,18,17,17,0,40,22,18,23,23,0,1,1,0,22,22,0,20,20,0
FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC","2,112","1,820",292,"1,392","1,121",271,720,699,21,212,74,138,172,36,136,40,38,2,320,275,45,119,103,16,0,0,0,119,103,16,41,39,2,0,0,0,41,39,2,53,50,3
FL-508,"Gainesville/Alachua, Putnam Counties CoC",870,317,553,788,243,545,82,74,8,395,43,352,377,33,344,18,10,8,217,125,92,53,28,25,19,19,0,34,9,25,0,0,0,0,0,0,0,0,0,0,0,0
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC","2,412",236,"2,176","1,299",92,"1,207","1,113",144,969,131,6,125,110,6,104,21,0,21,68,5,63,50,18,32,0,0,0,50,18,32,0,0,0,0,0,0,0,0,0,0,0,0
FL-510,"Jacksonville-Duval, Clay Counties CoC","1,853","1,427",426,"1,354",938,416,499,489,10,353,203,150,327,179,148,26,24,2,184,128,56,105,68,37,17,17,0,88,51,37,13,13,0,0,0,0,13,13,0,20,20,0
FL-511,Pensacola/Escambia/Santa Rosa County CoC,"1,014",538,476,874,417,457,140,121,19,219,128,91,219,128,91,0,0,0,167,122,45,185,40,145,146,12,134,39,28,11,0,0,0,0,0,0,0,0,0,0,0,0
FL-512,Saint Johns County CoC,"1,161",198,963,897,51,846,264,147,117,121,13,108,112,11,101,9,2,7,24,5,19,32,1,31,8,1,7,24,0,24,7,7,0,0,0,0,7,7,0,11,11,0
FL-513,Palm Bay/Melbourne/Brevard County CoC,"1,072",684,388,616,244,372,456,440,16,159,2,157,148,2,146,11,0,11,193,139,54,59,39,20,8,6,2,51,33,18,12,12,0,2,2,0,10,10,0,14,14,0
FL-514,Ocala/Marion County CoC,787,259,528,619,167,452,168,92,76,66,1,65,66,1,65,0,0,0,95,60,35,69,35,34,28,28,0,41,7,34,9,3,6,1,1,0,8,2,6,10,4,6
FL-515,"Panama City/Bay, Jackson Counties CoC",317,183,134,272,149,123,45,34,11,25,2,23,25,2,23,0,0,0,40,12,28,27,23,4,6,6,0,21,17,4,0,0,0,0,0,0,0,0,0,0,0,0
FL-517,"Hendry, Hardee, Highlands Counties CoC","1,218",278,940,620,80,540,598,198,400,227,25,202,227,25,202,0,0,0,0,0,0,25,0,25,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC","1,115",66,"1,049",876,45,831,239,21,218,209,0,209,170,0,170,39,0,39,139,27,112,269,16,253,9,7,2,260,9,251,4,2,2,0,0,0,4,2,2,8,4,4
FL-519,Pasco County CoC,"1,019",159,860,792,112,680,227,47,180,433,42,391,296,42,254,137,0,137,114,44,70,186,12,174,126,2,124,60,10,50,16,1,15,0,0,0,16,1,15,25,1,24
FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",731,267,464,486,147,339,245,120,125,38,11,27,36,9,27,2,2,0,62,21,41,32,10,22,0,0,0,32,10,22,13,11,2,0,0,0,13,11,2,21,17,4
FL-600,Miami/Dade County CoC,"4,152","3,145","1,007","2,720","1,713","1,007","1,432","1,432",0,526,174,352,486,134,352,40,40,0,236,213,23,150,139,11,11,11,0,139,128,11,48,48,0,0,0,0,48,48,0,88,88,0
FL-601,Ft Lauderdale/Broward County CoC,"2,615","1,796",819,"2,099","1,304",795,516,492,24,444,141,303,427,135,292,17,6,11,247,137,110,191,156,35,41,40,1,150,116,34,13,13,0,0,0,0,13,13,0,23,23,0
FL-602,Punta Gorda/Charlotte County CoC,562,162,400,313,73,240,249,89,160,156,6,150,135,4,131,21,2,19,65,36,29,23,23,0,21,21,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FL-603,Ft Myers/Cape Coral/Lee County CoC,614,300,314,520,236,284,94,64,30,180,39,141,171,37,134,9,2,7,62,34,28,39,22,17,5,5,0,34,17,17,5,5,0,0,0,0,5,5,0,6,6,0
FL-604,Monroe County CoC,615,301,314,562,260,302,53,41,12,148,30,118,148,30,118,0,0,0,93,34,59,27,9,18,5,5,0,22,4,18,1,1,0,0,0,0,1,1,0,1,1,0
FL-605,West Palm Beach/Palm Beach County CoC,"1,421",596,825,"1,220",448,772,201,148,53,452,24,428,448,24,424,4,0,4,157,71,86,112,66,46,35,35,0,77,31,46,8,4,4,0,0,0,8,4,4,11,7,4
FL-606,Naples/Collier County CoC,389,345,44,293,249,44,96,96,0,39,25,14,36,22,14,3,3,0,5,5,0,29,28,1,2,2,0,27,26,1,4,4,0,1,1,0,3,3,0,6,6,0
GA-500,Atlanta Continuum of Care,"4,317","3,280","1,037","3,752","2,721","1,031",565,559,6,781,416,365,765,400,365,16,16,0,633,482,151,191,150,41,2,2,0,189,148,41,4,4,0,0,0,0,4,4,0,6,6,0
GA-501,Georgia Balance of State CoC,"5,797","2,279","3,518","3,383",651,"2,732","2,414","1,628",786,931,98,833,844,87,757,87,11,76,553,133,420,195,33,162,4,0,4,191,33,158,22,16,6,0,0,0,22,16,6,38,19,19
GA-502,Fulton County Continuum of Care,473,420,53,272,226,46,201,194,7,47,28,19,22,9,13,25,19,6,57,57,0,47,46,1,8,8,0,39,38,1,0,0,0,0,0,0,0,0,0,0,0,0
GA-503,Athens/Clarke County CoC,226,135,91,188,97,91,38,38,0,32,5,27,32,5,27,0,0,0,20,11,9,10,7,3,0,0,0,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0
GA-504,Augusta CoC,407,278,129,265,196,69,142,82,60,34,14,20,34,14,20,0,0,0,71,36,35,14,10,4,0,0,0,14,10,4,4,4,0,0,0,0,4,4,0,24,24,0
GA-505,Columbus-Muscogee/Russell County CoC,371,206,165,323,158,165,48,48,0,59,5,54,59,5,54,0,0,0,37,11,26,17,5,12,0,0,0,17,5,12,3,3,0,0,0,0,3,3,0,3,3,0
GA-506,Marietta/Cobb County CoC,415,324,91,208,139,69,207,185,22,49,8,41,42,8,34,7,0,7,22,10,12,8,7,1,0,0,0,8,7,1,7,7,0,0,0,0,7,7,0,12,12,0
GA-507,Savannah/Chatham County CoC,"1,100",578,522,953,431,522,147,147,0,121,46,75,113,38,75,8,8,0,48,32,16,61,25,36,1,1,0,60,24,36,2,2,0,0,0,0,2,2,0,2,2,0
GA-508,DeKalb County Continuum of Care,684,487,197,358,164,194,326,323,3,83,2,81,83,2,81,0,0,0,107,94,13,32,9,23,0,0,0,32,9,23,9,9,0,0,0,0,9,9,0,13,13,0
GU-500,Guam CoC,"1,280",87,"1,193",306,23,283,974,64,910,153,0,153,27,0,27,126,0,126,23,1,22,7,1,6,1,1,0,6,0,6,12,0,12,0,0,0,12,0,12,10,0,10
HI-500,Hawaii Balance of State CoC,"2,717",813,"1,904","1,744",334,"1,410",973,479,494,666,20,646,593,18,575,73,2,71,225,35,190,147,26,121,3,0,3,144,26,118,23,10,13,0,0,0,23,10,13,29,16,13
HI-501,Honolulu CoC,"4,903","2,964","1,939","2,563",909,"1,654","2,340","2,055",285,868,160,708,779,135,644,89,25,64,467,240,227,156,50,106,21,8,13,135,42,93,72,60,12,1,0,1,71,60,11,64,55,9
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",276,265,11,113,102,11,163,163,0,26,25,1,26,25,1,0,0,0,14,13,1,30,30,0,0,0,0,30,30,0,10,10,0,0,0,0,10,10,0,18,18,0
IA-501,Iowa Balance of State CoC,"1,975","1,876",99,821,726,95,"1,154","1,150",4,135,126,9,69,60,9,66,66,0,81,64,17,97,95,2,4,4,0,93,91,2,94,94,0,4,4,0,90,90,0,98,98,0
IA-502,Des Moines/Polk County CoC,830,737,93,567,474,93,263,263,0,114,70,44,106,62,44,8,8,0,112,98,14,52,51,1,3,3,0,49,48,1,20,20,0,0,0,0,20,20,0,23,23,0
ID-500,Boise/Ada County CoC,755,674,81,611,534,77,144,140,4,94,67,27,82,59,23,12,8,4,126,112,14,54,51,3,3,3,0,51,48,3,2,2,0,0,0,0,2,2,0,3,3,0
ID-501,Idaho Balance of State,"1,211",823,388,561,298,263,650,525,125,151,45,106,82,25,57,69,20,49,123,62,61,75,40,35,1,0,1,74,40,34,20,17,3,0,0,0,20,17,3,28,26,2
IL-500,McHenry County CoC,177,168,9,116,113,3,61,55,6,6,4,2,6,4,2,0,0,0,25,25,0,4,4,0,0,0,0,4,4,0,1,1,0,0,0,0,1,1,0,1,1,0
IL-501,"Rockford/Winnebago, Boone Counties CoC",327,298,29,197,168,29,130,130,0,31,22,9,27,18,9,4,4,0,20,19,1,25,23,2,10,10,0,15,13,2,20,20,0,0,0,0,20,20,0,28,28,0
IL-502,Waukegan/North Chicago/Lake County CoC,386,381,5,197,192,5,189,189,0,46,45,1,46,45,1,0,0,0,58,58,0,17,16,1,0,0,0,17,16,1,15,15,0,0,0,0,15,15,0,24,24,0
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,163,153,10,125,115,10,38,38,0,5,0,5,5,0,5,0,0,0,18,16,2,26,26,0,5,5,0,21,21,0,4,4,0,0,0,0,4,4,0,5,5,0
