CoC Number,CoC Name,"Total Homeless, 2015","Sheltered Homeless, 2015","Unsheltered Homeless, 2015","Homeless Individuals, 2015","Sheltered Homeless Individuals, 2015","Unsheltered Homeless Individuals, 2015","Homeless People in Families, 2015","Sheltered Homeless People in Families, 2015","Unsheltered Homeless People in Families, 2015","Chronically Homeless, 2015","Sheltered Chronically Homeless, 2015","Unsheltered Chronically Homeless, 2015","Chronically Homeless Individuals, 2015","Sheltered Chronically Homeless Individuals, 2015","Unsheltered Chronically Homeless Individuals, 2015","Chronically Homeless People in Families, 2015","Sheltered Chronically Homeless People in Families, 2015","Unsheltered Chronically Homeless People in Families, 2015","Homeless Veterans, 2015","Sheltered Homeless Veterans, 2015","Unsheltered Homeless Veterans, 2015","Homeless Unaccompanied Youth (Under 25), 2015","Sheltered Homeless Unaccompanied Youth (Under 25), 2015","Unsheltered Homeless Unaccompanied Youth (Under 25), 2015","Homeless Unaccompanied Children (Under 18), 2015","Sheltered Homeless Unaccompanied Children (Under 18), 2015","Unsheltered Homeless Unaccompanied Children (Under 18), 2015","Homeless Unaccompanied Young Adults (Age 18-24), 2015","Sheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Unsheltered Homeless Unaccompanied Young Adults (Age 18-24), 2015","Parenting Youth (Under 25), 2015","Sheltered Parenting Youth (Under 25), 2015","Unsheltered Parenting Youth (Under 25), 2015","Parenting Youth Under 18, 2015","Sheltered Parenting Youth Under 18, 2015","Unsheltered Parenting Youth Under 18, 2015","Parenting Youth Age 18-24, 2015","Sheltered Parenting Youth Age 18-24, 2015","Unsheltered Parenting Youth Age 18-24, 2015","Children of Parenting Youth, 2015","Sheltered Children of Parenting Youth, 2015","Unsheltered Children of Parenting Youth, 2015"
PA-600,Pittsburgh/McKeesport/Penn Hills/Allegheny County CoC,"1,424","1,386",38,919,881,38,505,505,0,154,138,16,150,134,16,4,4,0,216,207,9,99,95,4,0,0,0,99,95,4,34,34,0,0,0,0,34,34,0,54,54,0
PA-601,Western Pennsylvania CoC,"1,002",937,65,567,512,55,435,425,10,91,68,23,89,66,23,2,2,0,135,134,1,61,54,7,1,1,0,60,53,7,20,20,0,0,0,0,20,20,0,26,26,0
PA-603,Beaver County CoC,120,113,7,48,43,5,72,70,2,9,6,3,3,2,1,6,4,2,1,1,0,9,9,0,0,0,0,9,9,0,1,1,0,0,0,0,1,1,0,1,1,0
PA-605,Erie City & County CoC,410,394,16,289,273,16,121,121,0,30,30,0,28,28,0,2,2,0,15,15,0,41,41,0,0,0,0,41,41,0,12,12,0,0,0,0,12,12,0,17,17,0
PR-502,Puerto Rico Balance of Commonwealth CoC,"2,422",868,"1,554","2,112",625,"1,487",310,243,67,893,72,821,826,72,754,67,0,67,95,23,72,106,46,60,12,11,1,94,35,59,22,22,0,0,0,0,22,22,0,31,31,0
PR-503,South/Southeast Puerto Rico CoC,"2,096",553,"1,543","1,817",404,"1,413",279,149,130,863,123,740,789,123,666,74,0,74,69,32,37,67,16,51,1,0,1,66,16,50,13,9,4,0,0,0,13,9,4,26,18,8
RI-500,Rhode Island Statewide CoC,"1,111","1,075",36,706,673,33,405,402,3,130,118,12,110,100,10,20,18,2,107,105,2,47,39,8,4,4,0,43,35,8,35,35,0,0,0,0,35,35,0,44,44,0
SC-500,Charleston/Low Country CoC,606,441,165,526,361,165,80,80,0,117,48,69,117,48,69,0,0,0,178,163,15,11,6,5,0,0,0,11,6,5,12,12,0,0,0,0,12,12,0,14,14,0
SC-501,Greenville/Anderson/Spartanburg Upstate CoC,"1,961","1,555",406,"1,362",982,380,599,573,26,407,275,132,345,218,127,62,57,5,101,74,27,22,19,3,1,0,1,21,19,2,37,35,2,0,0,0,37,35,2,53,47,6
SC-502,Columbia/Midlands CoC,"1,468","1,066",402,"1,189",810,379,279,256,23,319,187,132,298,175,123,21,12,9,221,193,28,53,47,6,4,4,0,49,43,6,14,12,2,1,0,1,13,12,1,28,26,2
SC-503,Myrtle Beach/Sumter City & County CoC,"1,319",396,923,857,312,545,462,84,378,177,15,162,156,15,141,21,0,21,181,40,141,109,54,55,8,8,0,101,46,55,0,0,0,0,0,0,0,0,0,0,0,0
SD-500,South Dakota Statewide CoC,"1,036",900,136,630,506,124,406,394,12,95,67,28,85,59,26,10,8,2,177,170,7,108,83,25,8,8,0,100,75,25,29,29,0,0,0,0,29,29,0,36,36,0
TN-500,Chattanooga/Southeast Tennessee CoC,636,489,147,430,321,109,206,168,38,126,71,55,110,61,49,16,10,6,82,65,17,22,16,6,0,0,0,22,16,6,17,15,2,0,0,0,17,15,2,28,25,3
TN-501,Memphis/Shelby County CoC,"1,525","1,447",78,"1,007",929,78,518,518,0,92,71,21,88,67,21,4,4,0,226,221,5,123,119,4,0,0,0,123,119,4,0,0,0,0,0,0,0,0,0,0,0,0
TN-502,Knoxville/Knox County CoC,783,687,96,685,594,91,98,93,5,108,44,64,103,44,59,5,0,5,102,95,7,46,44,2,0,0,0,46,44,2,2,2,0,0,0,0,2,2,0,2,2,0
TN-503,Central Tennessee CoC,268,209,59,189,138,51,79,71,8,54,39,15,39,24,15,15,15,0,56,53,3,23,15,8,0,0,0,23,15,8,0,0,0,0,0,0,0,0,0,0,0,0
TN-504,Nashville/Davidson County CoC,"2,154","1,684",470,"1,760","1,290",470,394,394,0,661,304,357,647,290,357,14,14,0,236,189,47,206,182,24,1,0,1,205,182,23,0,0,0,0,0,0,0,0,0,0,0,0
TN-506,Oak Ridge/Upper Cumberland CoC,362,176,186,275,100,175,87,76,11,36,2,34,27,1,26,9,1,8,15,0,15,12,7,5,0,0,0,12,7,5,5,5,0,0,0,0,5,5,0,5,5,0
TN-507,Jackson/West Tennessee CoC,"1,563",151,"1,412",985,95,890,578,56,522,255,36,219,184,32,152,71,4,67,67,11,56,98,9,89,0,0,0,98,9,89,25,5,20,0,0,0,25,5,20,37,7,30
TN-509,Appalachian Regional CoC,577,425,152,438,290,148,139,135,4,130,68,62,130,68,62,0,0,0,127,110,17,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,4,4,0,4,4,0
TN-510,Murfreesboro/Rutherford County CoC,289,169,120,221,108,113,68,61,7,39,14,25,36,14,22,3,0,3,16,10,6,53,25,28,0,0,0,53,25,28,2,1,1,0,0,0,2,1,1,5,2,3
TN-512,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC",966,442,524,526,210,316,440,232,208,149,53,96,128,47,81,21,6,15,18,2,16,90,37,53,13,3,10,77,34,43,10,4,6,0,0,0,10,4,6,13,4,9
TX-500,San Antonio/Bexar County CoC,"2,891","1,733","1,158","2,065",935,"1,130",826,798,28,691,351,340,632,320,312,59,31,28,284,190,94,133,50,83,6,3,3,127,47,80,16,14,2,0,0,0,16,14,2,24,19,5
TX-503,Austin/Travis County CoC,"1,832","1,165",667,"1,266",607,659,566,558,8,494,148,346,477,131,346,17,17,0,238,129,109,95,45,50,8,8,0,87,37,50,36,36,0,1,1,0,35,35,0,57,57,0
TX-600,Dallas City & County/Irving CoC,"3,141","2,778",363,"2,219","1,863",356,922,915,7,615,451,164,586,422,164,29,29,0,291,242,49,157,134,23,22,22,0,135,112,23,47,47,0,1,1,0,46,46,0,55,55,0
TX-601,Fort Worth/Arlington/Tarrant County CoC,"1,914","1,697",217,"1,351","1,134",217,563,563,0,136,109,27,128,101,27,8,8,0,193,174,19,54,45,9,12,12,0,42,33,9,0,0,0,0,0,0,0,0,0,0,0,0
TX-603,El Paso City & County CoC,"1,107","1,005",102,612,510,102,495,495,0,132,106,26,101,75,26,31,31,0,92,74,18,47,40,7,6,6,0,41,34,7,21,21,0,0,0,0,21,21,0,53,53,0
TX-604,Waco/McLennan County CoC,255,191,64,157,97,60,98,94,4,44,18,26,40,18,22,4,0,4,30,14,16,14,7,7,0,0,0,14,7,7,4,4,0,0,0,0,4,4,0,7,7,0
TX-607,Texas Balance of State (BoS) CoC,"7,016","4,090","2,926","4,643","2,111","2,532","2,373","1,979",394,"1,428",525,903,"1,099",318,781,329,207,122,653,279,374,526,281,245,122,102,20,404,179,225,0,0,0,0,0,0,0,0,0,0,0,0
TX-611,Amarillo CoC,478,472,6,318,312,6,160,160,0,69,66,3,69,66,3,0,0,0,46,46,0,20,20,0,0,0,0,20,20,0,4,4,0,0,0,0,4,4,0,6,6,0
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",267,247,20,178,158,20,89,89,0,80,80,0,40,40,0,40,40,0,1,1,0,38,20,18,13,13,0,25,7,18,0,0,0,0,0,0,0,0,0,0,0,0
TX-700,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","4,609","2,659","1,950","3,366","1,430","1,936","1,243","1,229",14,600,57,543,591,48,543,9,9,0,563,339,224,325,148,177,29,19,10,296,129,167,33,32,1,1,1,0,32,31,1,50,47,3
TX-701,Bryan/College Station/Brazos Valley CoC,168,155,13,90,77,13,78,78,0,15,4,11,15,4,11,0,0,0,2,2,0,7,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0
UT-500,Salt Lake City & County CoC,"2,176","2,086",90,"1,346","1,262",84,830,824,6,182,174,8,151,143,8,31,31,0,288,278,10,72,64,8,0,0,0,72,64,8,24,24,0,0,0,0,24,24,0,30,30,0
UT-503,Utah Balance of State CoC,646,548,98,357,272,85,289,276,13,46,39,7,22,20,2,24,19,5,40,32,8,40,27,13,0,0,0,40,27,13,3,3,0,0,0,0,3,3,0,2,2,0
