,"Total Beds (ES,TH,SH)",,,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Safe Haven (SH),,,,,,Permanent Supportive Housing (PSH),,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
MS,"1,373","1,151",533,46.30%,689,681,3,190,694,679,689,504,215,42.70%,0,58,85,388,301,681,681,644,315,48.90%,105,306,375,3,3,3,3,100.00%,3,310,310,304,159,52.30%,158,23,54,256
MT,"1,207",875,440,50.30%,699,508,0,219,646,561,699,490,168,34.30%,12,119,104,324,375,508,508,385,272,70.60%,115,322,186,0,0,0,0,0.00%,0,330,330,330,248,75.20%,66,26,61,269
NC,"10,277","8,889","6,423",72.30%,"5,618","4,659",0,"1,204","3,814","6,463","5,618","4,500","3,724",82.80%,489,600,583,"1,960","3,658","4,659","4,659","4,389","2,699",61.50%,621,"1,854","2,805",0,0,0,0,0.00%,0,"4,273","4,273","4,265","3,298",77.30%,976,721,"2,004","2,269"
ND,739,539,535,99.30%,585,154,0,104,324,415,585,450,446,99.10%,0,45,81,234,351,154,154,89,89,100.00%,23,90,64,0,0,0,0,0.00%,0,479,479,479,388,81.00%,95,62,141,338
NE,"3,807","3,229","2,710",83.90%,"1,873","1,934",0,666,"1,987","1,820","1,873","1,477","1,238",83.80%,0,529,253,862,"1,011","1,934","1,934","1,752","1,472",84.00%,413,"1,125",809,0,0,0,0,0.00%,0,818,818,818,380,46.50%,66,144,329,489
NH,"1,360","1,176","1,046",88.90%,658,693,9,250,744,616,658,504,480,95.20%,90,27,93,287,371,693,693,663,557,84.00%,157,457,236,9,9,9,9,100.00%,9,"1,056","1,056","1,056",889,84.20%,210,177,487,569
NJ,"7,576","6,634","6,319",95.30%,"4,702","2,846",28,"1,399","3,981","3,595","4,702","4,153","3,904",94.00%,260,"6,979",728,"2,021","2,681","2,846","2,846","2,453","2,387",97.30%,671,"1,960",886,28,28,28,28,100.00%,28,"3,989","3,989","3,959","3,057",77.20%,"1,026",435,"1,227","2,762"
NM,"2,797","1,727",872,50.50%,"1,629","1,168",0,452,"1,555","1,242","1,629",851,301,35.40%,511,15,208,826,803,"1,168","1,168",876,571,65.20%,244,729,439,0,0,0,0,0.00%,0,"1,446","1,446","1,446",920,63.60%,430,185,481,965
NV,"4,775","4,407","2,460",55.80%,"1,483","3,267",25,533,"1,639","3,136","1,483","1,185",999,84.30%,288,367,182,615,868,"3,267","3,267","3,197","1,436",44.90%,351,"1,024","2,243",25,25,25,25,100.00%,25,"2,328","2,328","2,328","1,014",43.60%,475,235,658,"1,670"
NY,"64,083","59,646","52,993",88.80%,"51,653","12,287",143,"13,002","40,201","23,882","51,653","48,835","45,042",92.20%,245,"2,152","11,357","35,028","16,625","12,287","12,287","10,677","7,817",73.20%,"1,645","5,173","7,114",143,143,134,134,100.00%,143,"39,582","39,582","39,206","23,158",59.10%,"8,725","4,479","13,421","26,161"
