,"Total Beds (ES, TH, SH)",,,,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,,,Transitional Housing (TH),,,,,,,,,,Safe Haven (SH),,,,,,,,,,Rapid Re-Housing (RRH),,,,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,,,Other Permanent Housing (OPH),,,,,,,,,
CoC Number,"Total Year-Round Beds (ES, TH, SH)","Total Non-DV Year-Round Beds (ES, TH, SH)","Total HMIS Year-Round Beds (ES, TH, SH)","HMIS Participation Rate for Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Units for Households with Children (ES, TH, SH)","Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)","Total Beds for Households with only Children (ES, TH, SH)","Dedicated Veteran Beds (ES, TH, SH)","Dedicated Youth Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Non-DV Year-Round Beds (ES),Total HMIS Year-Round Beds (ES),HMIS Participation Rate for Year-Round Beds (ES),Total Seasonal Beds (ES),Total Overflow Beds (ES),Total Units for Households with Children (ES),Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with only Children (ES),Dedicated Veteran Beds (ES),Dedicated Youth Beds (ES),Total Year-Round Beds (TH),Total Non-DV Year-Round Beds (TH),Total HMIS Year-Round Beds (TH),HMIS Participation Rate for Year-Round Beds (TH),Total Units for Households with Children (TH),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with only Children (TH),Dedicated Veteran Beds (TH),Dedicated Youth Beds (TH),Total Year-Round Beds (SH),Total Non-DV Year-Round Beds (SH),Total HMIS Year-Round Beds (SH),HMIS Participation Rate for Year-Round Beds (SH),Total Units for Households with Children (SH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Beds for Households with only Children (SH),Dedicated Veteran Beds (SH),Dedicated Youth Beds (SH),Total Year-Round Beds (RRH),Total Non-DV Year-Round Beds (RRH),Total HMIS Year-Round Beds (RRH),HMIS Participation Rate for Year-Round Beds (RRH),Total Units for Households with Children (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Beds for Households with only Children (RRH),Dedicated Veteran Beds (RRH),Dedicated Youth Beds (RRH),Total Year-Round Beds (PSH),Total Non-DV Year-Round Beds (PSH),Total HMIS Year-Round Beds (PSH),HMIS Participation Rate for Year-Round Beds (PSH),Total Units for Households with Children (PSH),Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),Total Beds for Households with only Children (PSH),Dedicated Veteran Beds (PSH),Dedicated Youth Beds (PSH),Dedicated Chronically Homeless Beds (PSH),Total Year-Round Beds (OPH),Total Non-DV Year-Round Beds (OPH),Total HMIS Year-Round Beds (OPH),HMIS Participation Rate for Year-Round Beds (OPH),Total Units for Households with Children (OPH),Total Beds for Households with Children (OPH),Total Beds for Households without Children (OPH),Total Beds for Households with only Children (OPH),Dedicated Veteran Beds (OPH),Dedicated Youth Beds (OPH)
OH-502,1603,1563,1258,78.48%,1362,221,20,99,368,1235,0,139,36,1362,1322,1042,76.51%,0,60,99,368,994,0,4,25,221,221,196,88.69%,0,0,221,0,135,11,20,20,20,100.00%,0,0,20,0,0,0,816,816,816,100.00%,176,640,176,0,165,113,4004,4004,3494,87.26%,730,1557,2447,0,810,143,1786,0,0,0,.,0,0,0,0,0,0
OH-503,1229,1172,1149,93.49%,1104,125,0,147,502,716,11,79,77,1104,1070,1051,95.20%,59,175,125,451,643,10,39,10,125,102,98,78.40%,22,51,73,1,40,67,0,0,0,.,0,0,0,0,0,0,392,392,365,93.11%,92,356,36,0,81,0,2732,2732,2239,81.95%,169,564,2168,0,539,0,1006,0,0,0,.,0,0,0,0,0,0
OH-504,272,248,224,82.35%,173,99,0,48,152,96,24,8,34,173,149,149,86.13%,0,44,30,101,72,0,0,10,99,99,75,75.76%,18,51,24,24,8,24,0,0,0,.,0,0,0,0,0,0,40,40,40,100.00%,11,32,8,0,0,0,379,379,347,91.56%,85,252,127,0,0,0,121,10,10,4,40.00%,6,6,4,0,0,0
OH-505,540,480,480,88.89%,405,135,0,44,117,415,8,52,98,405,352,352,86.91%,60,0,35,99,298,8,12,36,135,128,128,94.81%,9,18,117,0,40,62,0,0,0,.,0,0,0,0,0,0,186,161,161,86.56%,35,117,69,0,25,0,1390,1390,1171,84.24%,158,490,900,0,219,0,483,0,0,0,.,0,0,0,0,0,0
OH-506,477,409,397,83.23%,261,194,22,42,136,319,22,58,38,261,237,237,90.80%,0,25,27,77,168,16,6,16,194,150,150,77.32%,15,59,129,6,30,22,22,22,10,45.45%,0,0,22,0,22,0,207,89,89,43.00%,52,174,33,0,25,0,602,602,523,86.88%,73,203,399,0,75,12,249,0,0,0,.,0,0,0,0,0,0
OH-507,3177,2415,2019,63.55%,2231,936,10,586,1740,1432,5,104,17,2231,1581,1248,55.94%,113,90,361,1118,1108,5,34,5,936,824,761,81.30%,225,622,314,0,70,12,10,10,10,100.00%,0,0,10,0,0,0,886,881,875,98.76%,214,653,233,0,176,3,3626,3557,2924,80.64%,632,1706,1920,0,707,15,2490,20,20,20,100.00%,0,0,20,0,20,0
OH-508,328,248,241,73.48%,243,85,0,85,242,86,0,0,0,243,177,170,69.96%,0,16,58,161,82,0,0,0,85,71,71,83.53%,27,81,4,0,0,0,0,0,0,.,0,0,0,0,0,0,91,91,91,100.00%,17,46,45,0,0,0,499,499,449,89.98%,44,119,380,0,57,0,186,0,0,0,.,0,0,0,0,0,0
OK-500,213,121,77,36.15%,140,73,0,43,128,82,3,0,7,140,78,34,24.29%,0,0,29,79,58,3,0,3,73,43,43,58.90%,14,49,24,0,0,4,0,0,0,.,0,0,0,0,0,0,54,20,20,37.04%,13,45,9,0,8,3,18,18,18,100.00%,3,12,6,0,15,0,5,0,0,0,.,0,0,0,0,0,0
OK-501,848,714,666,78.54%,525,298,25,91,328,518,2,39,54,525,420,420,80.00%,0,103,57,186,337,2,0,2,298,269,221,74.16%,34,142,156,0,39,52,25,25,25,100.00%,0,0,25,0,0,0,54,54,54,100.00%,1,5,49,0,27,7,511,511,309,60.47%,18,51,460,0,205,2,225,0,0,0,.,0,0,0,0,0,0
OK-502,1357,1222,1071,78.92%,1093,264,0,111,351,1006,0,56,59,1093,973,936,85.64%,11,12,68,240,853,0,15,17,264,249,135,51.14%,43,111,153,0,41,42,0,0,0,.,0,0,0,0,0,0,50,50,50,100.00%,0,0,50,0,48,0,868,868,541,62.33%,52,187,681,0,590,0,387,0,0,0,.,0,0,0,0,0,0
OK-503,145,87,24,16.55%,109,36,0,14,75,70,0,10,40,109,63,0,0.00%,0,0,5,49,60,0,9,22,36,24,24,66.67%,9,26,10,0,1,18,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,51,47,37,72.55%,24,28,23,0,6,24,4,0,0,0,.,0,0,0,0,0,0
OK-504,72,53,40,55.56%,51,21,0,9,22,47,3,28,3,51,32,31,60.78%,45,2,5,16,32,3,28,3,21,21,9,42.86%,4,6,15,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,100,100,100,100.00%,29,57,38,5,0,40,0,0,0,0,.,0,0,0,0,0,0
OK-505,391,286,94,24.04%,339,52,0,52,151,214,26,0,26,339,234,50,14.75%,0,0,49,143,170,26,0,26,52,52,44,84.62%,3,8,44,0,0,0,0,0,0,.,0,0,0,0,0,0,58,49,49,84.48%,11,32,26,0,24,0,62,47,35,56.45%,4,14,48,0,12,0,50,10,10,0,0.00%,1,3,7,0,0,0
OK-506,304,215,118,38.82%,224,80,0,17,201,93,10,0,98,224,135,68,30.36%,0,12,7,163,51,10,0,70,80,80,50,62.50%,10,38,42,0,0,28,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,8,8,8,100.00%,0,0,8,0,0,0,0,0,0,0,.,0,0,0,0,0,0
OK-507,348,203,42,12.07%,348,0,0,37,108,180,60,6,60,348,203,42,12.07%,0,7,37,108,180,60,6,60,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,129,129,129,100.00%,18,59,70,0,96,0,61,61,29,47.54%,12,33,28,0,32,0,7,0,0,0,.,0,0,0,0,0,0
OR-500,571,542,542,94.92%,475,96,0,40,132,427,12,26,22,475,446,446,93.89%,75,0,18,67,396,12,4,12,96,96,96,100.00%,22,65,31,0,22,10,0,0,0,.,0,0,0,0,0,0,260,249,249,95.77%,61,202,58,0,37,0,512,512,512,100.00%,37,104,408,0,261,0,107,0,0,0,.,0,0,0,0,0,0
OR-501,2562,2418,2180,85.09%,1749,813,0,200,574,1982,6,146,139,1749,1627,1389,79.42%,0,45,133,383,1364,2,29,70,813,791,791,97.29%,67,191,618,4,117,69,0,0,0,.,0,0,0,0,0,0,2083,1885,1885,90.49%,367,1333,749,1,362,84,4626,4571,3866,83.57%,538,1782,2844,0,654,51,1748,0,0,0,.,0,0,0,0,0,0
OR-502,335,304,167,49.85%,170,165,0,61,160,175,0,54,43,170,139,27,15.88%,107,0,40,102,68,0,0,16,165,165,140,84.85%,21,58,107,0,54,27,0,0,0,.,0,0,0,0,0,0,104,104,104,100.00%,12,54,50,0,89,0,559,559,171,30.59%,228,299,260,0,385,0,148,0,0,0,.,0,0,0,0,0,0
OR-503,272,248,179,65.81%,211,61,0,19,65,189,18,13,28,211,187,148,70.14%,115,2,17,61,141,9,7,9,61,61,31,50.82%,2,4,48,9,6,19,0,0,0,.,0,0,0,0,0,0,177,177,173,97.74%,55,173,4,0,0,0,138,138,19,13.77%,13,42,96,0,129,0,138,9,9,0,0.00%,1,2,7,0,1,0
OR-505,2575,2274,606,23.53%,1390,1185,0,429,1100,1406,69,8,137,1390,1184,256,18.42%,69,0,204,528,810,52,0,86,1185,1090,350,29.54%,225,572,596,17,8,51,0,0,0,.,0,0,0,0,0,0,370,370,364,98.38%,67,232,138,0,54,1,603,603,333,55.22%,127,371,232,0,233,0,93,136,136,136,100.00%,36,113,23,0,0,0
OR-506,248,216,206,83.06%,96,142,10,43,144,99,5,86,19,96,72,72,75.00%,2,0,23,89,4,3,0,4,142,134,124,87.32%,20,55,85,2,86,15,10,10,10,100.00%,0,0,10,0,0,0,140,140,140,100.00%,39,132,8,0,22,0,475,475,475,100.00%,36,131,344,0,177,0,147,0,0,0,.,0,0,0,0,0,0
OR-507,85,79,79,92.94%,16,69,0,26,71,14,0,0,27,16,16,16,100.00%,0,63,5,16,0,0,0,0,69,63,63,91.30%,21,55,14,0,0,27,0,0,0,.,0,0,0,0,0,0,133,133,133,100.00%,36,127,6,0,19,0,319,312,312,97.81%,46,136,183,0,108,0,95,0,0,0,.,0,0,0,0,0,0
PA-500,5324,5017,3720,69.87%,3652,1587,85,857,2669,2626,29,166,383,3652,3452,2439,66.79%,349,37,465,1559,2064,29,20,108,1587,1480,1261,79.46%,392,1110,477,0,146,275,85,85,20,23.53%,0,0,85,0,0,0,1179,1123,804,68.19%,291,926,253,0,327,7,5279,5279,3453,65.41%,699,2586,2693,0,1195,45,1497,900,900,0,0.00%,300,900,0,0,0,0
PA-501,420,396,262,62.38%,213,182,25,80,216,204,0,32,3,213,197,85,39.91%,33,15,28,84,129,0,13,0,182,174,152,83.52%,52,132,50,0,19,3,25,25,25,100.00%,0,0,25,0,0,0,95,95,95,100.00%,15,57,38,0,12,0,200,200,103,51.50%,26,60,140,0,102,0,34,42,42,42,100.00%,6,10,32,0,22,12
PA-502,436,420,366,83.94%,322,114,0,86,220,216,0,0,9,322,306,275,85.40%,0,11,53,157,165,0,0,2,114,114,91,79.82%,33,63,51,0,0,7,0,0,0,.,0,0,0,0,0,0,266,266,266,100.00%,69,220,46,0,11,0,351,351,351,100.00%,53,128,223,0,95,5,66,25,25,25,100.00%,6,17,8,0,0,0
PA-503,229,169,169,73.80%,111,118,0,27,91,134,4,14,11,111,87,87,78.38%,0,52,9,26,81,4,0,4,118,82,82,69.49%,18,65,53,0,14,7,0,0,0,.,0,0,0,0,0,0,136,136,136,100.00%,33,104,32,0,26,3,269,269,235,87.36%,55,165,104,0,65,0,27,0,0,0,.,0,0,0,0,0,0
PA-504,289,263,263,91.00%,169,120,0,56,212,77,0,0,0,169,153,153,90.53%,69,17,30,110,59,0,0,0,120,110,110,91.67%,26,102,18,0,0,0,0,0,0,.,0,0,0,0,0,0,255,249,249,97.65%,90,193,62,0,0,19,240,233,233,97.08%,39,91,149,0,12,0,73,16,16,16,100.00%,3,16,0,0,0,0
PA-505,533,436,387,72.61%,200,333,0,56,183,350,0,227,0,200,174,143,71.50%,30,108,30,100,100,0,10,0,333,262,244,73.27%,26,83,250,0,217,0,0,0,0,.,0,0,0,0,0,0,138,138,124,89.86%,36,130,8,0,7,0,532,532,279,52.44%,27,86,446,0,205,8,24,0,0,0,.,0,0,0,0,0,0
PA-506,488,422,422,86.48%,226,262,0,67,194,294,0,17,0,226,176,176,77.88%,90,0,22,85,141,0,13,0,262,246,246,93.89%,45,109,153,0,4,0,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,1,3,6,0,9,0,343,343,291,84.84%,56,183,160,0,52,7,86,0,0,0,.,0,0,0,0,0,0
PA-508,171,154,154,90.06%,49,118,4,29,94,77,0,30,8,49,44,44,89.80%,21,0,5,18,31,0,0,0,118,106,106,89.83%,24,76,42,0,30,8,4,4,4,100.00%,0,0,4,0,0,0,76,45,45,59.21%,25,61,15,0,17,0,220,220,165,75.00%,34,121,99,0,63,4,165,0,0,0,.,0,0,0,0,0,0
PA-509,2256,1767,1113,49.34%,1273,983,0,411,1319,909,28,63,169,1273,887,444,34.88%,186,31,203,722,524,27,12,29,983,880,669,68.06%,208,597,385,1,51,140,0,0,0,.,0,0,0,0,0,0,612,612,612,100.00%,117,412,199,1,116,1,1396,1396,926,66.33%,191,600,796,0,461,0,871,14,3,0,0.00%,3,10,4,0,0,0
PA-510,419,381,381,90.93%,182,237,0,96,247,172,0,21,12,182,144,144,79.12%,50,0,44,112,70,0,0,12,237,237,237,100.00%,52,135,102,0,21,0,0,0,0,.,0,0,0,0,0,0,169,169,169,100.00%,46,126,43,0,0,0,183,183,183,100.00%,16,53,130,0,13,8,38,0,0,0,.,0,0,0,0,0,0
PA-511,467,449,442,94.65%,110,357,0,115,399,65,3,0,37,110,96,94,85.45%,77,0,12,86,21,3,0,3,357,353,348,97.48%,103,313,44,0,0,34,0,0,0,.,0,0,0,0,0,0,93,93,88,94.62%,25,63,30,0,5,0,117,117,101,86.32%,14,40,77,0,16,0,26,8,8,8,100.00%,0,0,8,0,0,0
PA-512,400,309,309,77.25%,161,239,0,50,203,197,0,0,0,161,125,125,77.64%,0,12,20,83,78,0,0,0,239,184,184,76.99%,30,120,119,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,8,17,7,0,9,0,224,224,195,87.05%,18,61,163,0,29,0,72,9,9,9,100.00%,2,6,3,0,9,0
PA-600,1092,988,899,82.33%,521,531,40,176,536,556,0,89,70,521,442,416,79.85%,200,7,93,315,206,0,29,18,531,506,443,83.43%,83,221,310,0,60,52,40,40,40,100.00%,0,0,40,0,0,0,442,442,417,94.34%,100,335,107,0,16,0,2181,2181,1775,81.38%,464,1376,805,0,483,0,759,58,58,0,0.00%,0,0,58,0,0,0
PA-601,1187,878,621,52.32%,732,417,38,171,534,653,0,99,11,732,495,281,38.39%,20,17,99,316,416,0,25,0,417,345,302,72.42%,72,218,199,0,74,11,38,38,38,100.00%,0,0,38,0,0,0,368,368,368,100.00%,70,223,145,0,78,0,1064,988,775,72.84%,150,444,620,0,205,9,849,0,0,0,.,0,0,0,0,0,0
PA-603,134,100,100,74.63%,98,36,0,27,87,47,0,1,2,98,74,74,75.51%,0,0,19,65,33,0,0,1,36,26,26,72.22%,8,22,14,0,1,1,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,153,153,153,100.00%,35,97,56,0,7,5,95,0,0,0,.,0,0,0,0,0,0
PA-605,401,318,318,79.30%,229,172,0,63,189,212,0,20,0,229,174,174,75.98%,65,0,28,103,126,0,10,0,172,144,144,83.72%,35,86,86,0,10,0,0,0,0,.,0,0,0,0,0,0,29,29,29,100.00%,6,12,17,0,29,0,411,411,285,69.34%,113,288,123,0,126,0,21,98,98,98,100.00%,0,0,98,0,0,0
PR-502,1031,788,788,76.43%,316,693,22,80,264,767,0,10,25,316,234,234,74.05%,0,0,18,68,248,0,3,1,693,532,532,76.77%,62,196,497,0,7,24,22,22,22,100.00%,0,0,22,0,0,0,128,128,128,100.00%,22,74,54,0,1,0,1269,1243,1235,97.32%,121,327,942,0,176,21,749,255,255,255,100.00%,0,0,255,0,0,0
PR-503,500,434,434,86.80%,368,122,10,18,75,407,18,39,20,368,334,334,90.76%,0,0,11,50,300,18,8,18,122,90,90,73.77%,7,25,97,0,31,2,10,10,10,100.00%,0,0,10,0,0,0,103,88,81,78.64%,17,55,48,0,35,0,569,482,439,77.15%,66,199,370,0,44,0,223,25,25,25,100.00%,0,0,25,0,0,0
RI-500,1069,907,761,71.19%,726,343,0,138,393,666,10,73,36,726,650,510,70.25%,139,7,62,191,525,10,0,20,343,257,251,73.18%,76,202,141,0,73,16,0,0,0,.,0,0,0,0,0,0,328,328,328,100.00%,55,193,135,0,107,0,1239,1239,966,77.97%,144,514,725,0,321,12,436,712,699,693,97.33%,116,283,429,0,1,1
SC-500,377,323,260,68.97%,199,178,0,51,115,262,0,146,0,199,145,133,66.83%,10,0,44,99,100,0,0,0,178,178,127,71.35%,7,16,162,0,146,0,0,0,0,.,0,0,0,0,0,0,90,90,90,100.00%,30,60,30,0,45,22,420,420,130,30.95%,14,28,392,0,290,0,348,8,8,0,0.00%,0,0,8,0,0,0
SC-501,1015,898,424,41.77%,752,250,13,122,583,426,6,11,6,752,635,217,28.86%,140,23,67,430,322,0,0,0,250,250,194,77.60%,55,153,91,6,11,6,13,13,13,100.00%,0,0,13,0,0,0,91,91,91,100.00%,29,43,48,0,25,0,352,352,227,64.49%,31,60,292,0,123,0,348,0,0,0,.,0,0,0,0,0,0
SC-502,1031,910,846,82.06%,595,436,0,80,361,660,10,129,44,595,489,448,75.29%,320,24,21,158,435,2,8,16,436,421,398,91.28%,59,203,225,8,121,28,0,0,0,.,0,0,0,0,0,0,190,190,190,100.00%,26,90,100,0,77,0,1068,995,981,91.85%,157,468,600,0,596,4,278,154,154,85,55.19%,23,92,42,20,7,24
SC-503,508,452,385,75.79%,352,156,0,52,184,296,28,6,28,352,312,259,73.58%,0,48,29,125,211,16,6,16,156,140,126,80.77%,23,59,85,12,0,12,0,0,0,.,0,0,0,0,0,0,102,102,102,100.00%,16,52,50,0,54,0,657,657,657,100.00%,76,247,410,0,305,0,401,0,0,0,.,0,0,0,0,0,0
SD-500,1356,958,300,22.12%,966,390,0,395,752,595,9,131,27,966,580,75,7.76%,15,127,178,527,439,0,11,14,390,378,225,57.69%,217,225,156,9,120,13,0,0,0,.,0,0,0,0,0,0,182,146,146,80.22%,107,161,21,0,0,0,459,459,290,63.18%,91,159,300,0,286,0,104,0,0,0,.,0,0,0,0,0,0
TN-500,320,251,246,76.88%,222,98,0,66,197,123,0,0,0,222,185,185,83.33%,160,20,32,99,123,0,0,0,98,66,61,62.24%,34,98,0,0,0,0,0,0,0,.,0,0,0,0,0,0,129,129,121,93.80%,19,65,64,0,53,0,442,442,386,87.33%,112,294,148,0,56,0,68,19,0,0,0.00%,0,0,19,0,0,0
TN-501,1524,1468,1433,94.03%,593,931,0,211,698,818,8,125,8,593,566,541,91.23%,37,125,69,243,342,8,0,8,931,902,892,95.81%,142,455,476,0,125,0,0,0,0,.,0,0,0,0,0,0,567,567,567,100.00%,167,451,116,0,166,0,1352,1352,845,62.50%,152,524,828,0,581,0,729,28,28,28,100.00%,8,24,4,0,0,0
TN-502,706,665,593,83.99%,399,307,0,35,90,616,0,40,14,399,379,379,94.99%,0,26,18,48,351,0,0,4,307,286,214,69.71%,17,42,265,0,40,10,0,0,0,.,0,0,0,0,0,0,167,167,167,100.00%,45,150,17,0,14,0,412,412,317,76.94%,23,65,347,0,172,0,105,0,0,0,.,0,0,0,0,0,0
TN-503,354,235,235,66.38%,210,144,0,13,142,212,0,61,0,210,105,105,50.00%,0,0,11,136,74,0,5,0,144,130,130,90.28%,2,6,138,0,56,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,152,152,152,100.00%,16,39,113,0,27,0,57,0,0,0,.,0,0,0,0,0,0
TN-504,1783,1698,1671,93.72%,1222,561,0,88,339,1414,30,108,30,1222,1155,1135,92.88%,373,11,45,199,993,30,9,30,561,543,536,95.54%,43,140,421,0,99,0,0,0,0,.,0,0,0,0,0,0,100,100,100,100.00%,20,94,6,0,0,0,1200,1200,1200,100.00%,556,777,423,0,429,0,199,118,118,118,100.00%,0,0,118,0,0,0
TN-506,259,206,39,15.06%,245,14,0,12,114,145,0,0,0,245,197,39,15.92%,30,14,11,111,134,0,0,0,14,9,0,0.00%,1,3,11,0,0,0,0,0,0,.,0,0,0,0,0,0,9,9,9,100.00%,2,5,4,0,0,0,92,92,92,100.00%,16,41,51,0,0,0,0,0,0,0,.,0,0,0,0,0,0
TN-507,143,105,89,62.24%,100,35,8,23,72,71,0,2,0,100,62,46,46.00%,0,8,20,64,36,0,0,0,35,35,35,100.00%,3,8,27,0,0,0,8,8,8,100.00%,0,0,8,0,2,0,61,61,61,100.00%,9,37,24,0,10,0,309,309,282,91.26%,44,145,164,0,33,0,35,0,0,0,.,0,0,0,0,0,0
TN-509,550,477,204,37.09%,426,124,0,33,187,361,2,33,2,426,353,141,33.10%,28,23,23,145,279,2,0,2,124,124,63,50.81%,10,42,82,0,33,0,0,0,0,.,0,0,0,0,0,0,54,52,52,96.30%,4,13,41,0,34,0,512,487,294,57.42%,42,122,390,0,187,0,193,0,0,0,.,0,0,0,0,0,0
TN-510,269,230,119,44.24%,224,45,0,21,85,184,0,0,9,224,185,119,53.13%,25,0,21,85,139,0,0,9,45,45,0,0.00%,0,0,45,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,169,169,93,55.03%,33,96,73,0,76,3,2,11,9,9,81.82%,3,9,2,0,0,0
TN-512,418,286,58,13.88%,318,100,0,82,225,192,1,1,9,318,198,41,12.89%,0,0,71,197,120,1,1,9,100,88,17,17.00%,11,28,72,0,0,0,0,0,0,.,0,0,0,0,0,0,206,159,159,77.18%,40,118,88,0,0,0,41,41,16,39.02%,7,22,19,0,17,9,41,0,0,0,.,0,0,0,0,0,0
TX-500,2252,2038,2020,89.70%,1487,765,0,290,1201,1051,0,111,36,1487,1348,1348,90.65%,0,0,132,675,812,0,31,0,765,690,672,87.84%,158,526,239,0,80,36,0,0,0,.,0,0,0,0,0,0,569,543,543,95.43%,143,339,230,0,380,6,2168,2168,2166,99.91%,398,1092,1076,0,1070,0,638,1451,1451,1451,100.00%,344,1295,156,0,0,0
TX-503,1309,1070,1070,81.74%,833,460,16,219,672,637,0,78,76,833,727,727,87.27%,0,44,85,282,551,0,30,20,460,327,327,71.09%,134,390,70,0,32,56,16,16,16,100.00%,0,0,16,0,16,0,254,254,254,100.00%,15,47,207,0,92,0,1191,1175,1175,98.66%,87,328,863,0,621,23,819,108,108,108,100.00%,36,108,0,0,0,0
TX-600,3384,2848,1154,34.10%,2421,938,25,368,1287,2025,72,191,141,2421,2116,902,37.26%,0,108,184,789,1586,46,73,46,938,707,227,24.20%,184,498,414,26,118,95,25,25,25,100.00%,0,0,25,0,0,0,422,269,260,61.61%,77,268,154,0,49,5,2218,2218,1374,61.95%,349,707,1511,0,900,35,1093,755,755,735,97.35%,179,624,131,0,0,0
TX-601,1859,1615,1197,64.39%,1550,289,20,196,702,1141,16,138,16,1550,1386,968,62.45%,42,72,150,541,993,16,44,16,289,209,209,72.32%,46,161,128,0,94,0,20,20,20,100.00%,0,0,20,0,0,0,682,573,572,83.87%,165,457,225,0,60,0,1742,1719,1346,77.27%,262,612,1130,0,401,0,1510,190,190,0,0.00%,41,96,94,0,0,0
TX-603,1259,1158,773,61.40%,745,494,20,177,642,610,7,29,22,745,659,411,55.17%,0,35,59,255,483,7,9,7,494,479,362,73.28%,118,387,107,0,20,15,20,20,0,0.00%,0,0,20,0,0,0,79,79,79,100.00%,16,51,28,0,66,0,148,148,110,74.32%,1,4,144,0,15,0,58,0,0,0,.,0,0,0,0,0,0
TX-604,226,149,128,56.64%,145,78,3,40,135,91,0,5,2,145,81,68,46.90%,0,0,20,69,76,0,0,0,78,65,60,76.92%,20,66,12,0,5,2,3,3,0,0.00%,0,0,3,0,0,0,20,0,0,0.00%,8,18,2,0,0,0,131,126,39,29.77%,9,27,104,0,60,0,10,0,0,0,.,0,0,0,0,0,0
TX-607,4643,2830,1818,39.16%,3395,1248,0,728,2548,2048,47,41,100,3395,2017,1182,34.82%,0,60,459,1573,1794,28,36,28,1248,813,636,50.96%,269,975,254,19,5,72,0,0,0,.,0,0,0,0,0,0,883,779,591,66.93%,202,544,339,0,313,0,1052,1052,269,25.57%,125,358,694,0,670,0,215,0,0,0,.,0,0,0,0,0,0
TX-611,655,631,631,96.34%,576,79,0,99,331,324,0,495,295,576,552,552,95.83%,0,21,59,252,324,0,495,295,79,79,79,100.00%,40,79,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,160,160,160,100.00%,9,24,136,0,160,65,99,0,0,0,.,0,0,0,0,0,0
TX-624,402,313,277,68.91%,402,0,0,9,144,224,34,0,34,402,313,277,68.91%,0,0,9,144,224,34,0,34,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,24,24,24,100.00%,0,0,24,0,0,0,24,0,0,0,.,0,0,0,0,0,0
TX-700,3192,2749,2704,84.71%,1758,1434,0,337,1199,1985,8,290,73,1758,1497,1497,85.15%,0,40,181,668,1082,8,105,73,1434,1252,1207,84.17%,156,531,903,0,185,0,0,0,0,.,0,0,0,0,0,0,1821,1346,1286,70.62%,457,1672,149,0,138,8,5542,5336,2578,46.52%,799,2282,3260,0,2932,40,3808,310,310,0,0.00%,44,140,170,0,0,0
TX-701,163,118,118,72.39%,163,0,0,22,46,117,0,0,0,163,118,118,72.39%,12,0,22,46,117,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,45,45,45,100.00%,12,22,23,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0
UT-500,1711,1458,1330,77.73%,1415,296,0,213,711,967,33,123,71,1415,1174,1105,78.09%,80,223,187,644,738,33,0,33,296,284,225,76.01%,26,67,229,0,123,38,0,0,0,.,0,0,0,0,0,0,623,614,614,98.56%,145,546,70,7,92,7,2082,2082,2021,97.07%,270,949,1133,0,498,28,1042,123,0,0,0.00%,36,123,0,0,0,0
UT-503,886,524,468,52.82%,768,118,0,112,427,439,20,35,28,768,490,434,56.51%,0,0,85,338,410,20,8,28,118,34,34,28.81%,27,89,29,0,27,0,0,0,0,.,0,0,0,0,0,0,428,398,398,92.99%,97,373,55,0,26,0,280,280,260,92.86%,32,105,175,0,95,0,161,0,0,0,.,0,0,0,0,0,0
UT-504,157,98,98,62.42%,97,60,0,19,58,87,12,0,12,97,61,61,62.89%,0,0,11,34,51,12,0,12,60,37,37,61.67%,8,24,36,0,0,0,0,0,0,.,0,0,0,0,0,0,81,81,81,100.00%,22,72,9,0,3,0,200,194,194,97.00%,41,114,86,0,0,0,54,2,2,2,100.00%,0,0,2,0,0,0
