,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
NC-506,486,405,286,70.60%,315,171,42,169,317,315,262,187,71.40%,0,0,16,107,208,171,171,143,99,69.20%,26,62,109,106,106,106,106,100.00%,0,7,14,92
NC-507,"1,253","1,235",860,69.60%,532,721,133,431,822,532,514,360,70.00%,0,155,54,163,369,721,721,721,500,69.30%,79,268,453,544,544,544,528,97.10%,151,102,264,280
NC-508,130,78,42,53.80%,88,42,27,89,41,88,36,0,0.00%,0,0,14,52,36,42,42,42,42,100.00%,13,37,5,1,1,1,1,100.00%,1,0,0,1
NC-509,215,136,179,131.60%,166,49,25,79,136,166,87,130,149.40%,18,10,16,55,111,49,49,49,49,100.00%,9,24,25,72,72,72,72,100.00%,5,10,25,47
NC-511,244,205,176,85.90%,96,148,48,166,78,96,82,58,70.70%,0,0,9,29,67,148,148,123,118,95.90%,39,137,11,28,28,28,15,53.60%,0,5,15,13
NC-513,158,158,86,54.40%,68,90,21,69,89,68,68,48,70.60%,0,29,1,3,65,90,90,90,38,42.20%,20,66,24,87,87,87,87,100.00%,7,24,71,16
NC-516,126,49,42,85.70%,97,29,24,52,74,97,24,17,70.80%,0,7,22,44,53,29,29,25,25,100.00%,2,8,21,40,40,32,32,100.00%,4,6,14,26
ND-500,957,722,445,61.60%,615,342,128,410,547,615,452,333,73.70%,0,29,86,271,344,342,342,270,112,41.50%,42,139,203,386,386,386,373,96.60%,73,64,202,184
NE-500,322,243,105,43.20%,83,239,95,228,94,83,22,12,54.50%,0,0,29,54,29,239,239,221,93,42.10%,66,174,65,17,17,17,0,0.00%,0,3,7,10
NE-501,"1,350","1,225",331,27.00%,696,654,162,597,753,696,631,246,39.00%,0,323,51,193,503,654,654,594,85,14.30%,111,404,250,117,117,117,9,7.70%,21,38,96,21
NE-502,986,893,757,84.80%,343,643,172,470,516,343,269,293,108.90%,0,60,58,153,190,643,643,624,464,74.40%,114,317,326,43,43,43,34,79.10%,18,0,0,43
NE-503,163,75,80,106.70%,130,33,34,122,41,130,48,53,110.40%,0,12,22,89,41,33,33,27,27,100.00%,12,33,0,211,211,211,0,0.00%,1,16,37,174
NE-504,191,134,147,109.70%,104,87,47,137,54,104,65,72,110.80%,0,22,21,62,42,87,87,69,75,108.70%,26,75,12,59,59,59,0,0.00%,0,8,21,38
NE-505,156,78,9,11.50%,104,52,17,64,92,104,49,0,0.00%,0,47,10,36,68,52,52,29,9,31.00%,7,28,24,71,71,71,71,100.00%,34,0,0,71
NE-506,167,85,165,194.10%,146,21,42,89,78,146,64,145,226.60%,0,66,41,87,59,21,21,21,20,95.20%,1,2,19,56,56,56,56,100.00%,0,2,2,54
NH-500,"1,098",901,814,90.30%,530,568,197,677,421,530,369,359,97.30%,67,32,89,304,226,568,568,532,455,85.50%,108,373,195,170,170,168,168,100.00%,9,22,57,113
NH-501,366,348,278,79.90%,166,200,70,218,148,166,148,126,85.10%,0,47,20,76,90,200,200,200,152,76.00%,50,142,58,74,74,74,47,63.50%,21,12,28,46
NH-502,214,202,178,88.10%,96,118,48,140,74,96,84,60,71.40%,0,19,17,54,42,118,118,118,118,100.00%,31,86,32,412,412,412,372,90.30%,207,68,178,234
NJ-500,342,323,47,14.60%,322,20,19,74,268,322,303,27,8.90%,124,0,19,74,248,20,20,20,20,100.00%,0,0,20,13,13,13,11,84.60%,0,0,0,13
NJ-501,215,132,140,106.10%,108,107,40,102,113,108,73,73,100.00%,51,30,17,50,58,107,107,59,67,113.60%,23,52,55,101,101,101,101,100.00%,37,15,29,72
NJ-502,310,283,283,100.00%,261,49,45,249,61,261,234,234,100.00%,28,247,40,219,42,49,49,49,49,100.00%,5,30,19,150,150,150,150,100.00%,23,23,75,75
NJ-503,470,429,404,94.20%,131,339,47,165,305,131,90,95,105.60%,0,5,28,101,30,339,339,339,309,91.20%,19,64,275,126,126,126,126,100.00%,38,5,15,111
NJ-504,"2,491","2,394","2,329",97.30%,"1,745",746,345,962,"1,529","1,745","1,745","1,745",100.00%,0,4,190,479,"1,266",746,746,649,584,90.00%,155,483,263,304,304,304,181,59.50%,93,50,159,145
NJ-505,568,533,93,17.40%,63,505,35,55,513,63,28,28,100.00%,0,0,22,42,21,505,505,505,65,12.90%,13,13,492,15,15,15,15,100.00%,10,5,5,10
NJ-506,416,357,357,100.00%,214,202,91,160,256,214,190,190,100.00%,0,0,28,44,170,202,202,167,167,100.00%,63,116,86,78,78,78,78,100.00%,34,7,10,68
NJ-507,307,286,286,100.00%,148,159,91,208,99,148,127,127,100.00%,35,0,34,124,24,159,159,159,159,100.00%,57,84,75,8,8,8,8,100.00%,0,2,4,4
NJ-508,154,96,96,100.00%,66,88,70,120,34,66,48,48,100.00%,0,0,12,32,34,88,88,48,48,100.00%,58,88,0,174,174,174,174,100.00%,91,14,38,136
NJ-509,320,244,146,59.80%,148,172,46,151,169,148,112,90,80.40%,15,378,25,73,75,172,172,132,56,42.40%,21,78,94,116,116,116,62,53.40%,52,17,58,58
NJ-510,133,67,67,100.00%,41,92,41,109,24,41,14,14,100.00%,0,705,9,35,6,92,92,53,53,100.00%,32,74,18,19,19,19,19,100.00%,4,13,13,6
NJ-511,408,198,208,105.10%,303,105,96,258,150,303,138,148,107.20%,10,0,56,177,126,105,105,60,60,100.00%,40,81,24,373,373,373,362,97.10%,215,38,38,335
NJ-512,40,22,18,81.80%,0,40,15,37,3,0,-18,0,0.00%,0,294,0,0,0,40,40,40,18,45.00%,15,37,3,0,0,0,0,0.00%,0,0,0,0
NJ-513,200,158,158,100.00%,89,111,34,84,116,89,74,74,100.00%,0,0,24,55,34,111,111,84,84,100.00%,10,29,82,27,27,27,27,100.00%,11,0,0,27
NJ-514,346,337,346,102.70%,154,192,149,228,118,154,145,154,106.20%,117,0,56,74,80,192,192,192,192,100.00%,93,154,38,425,425,425,425,100.00%,167,44,132,293
NJ-515,348,294,294,100.00%,193,155,64,223,125,193,169,169,100.00%,15,54,26,86,107,155,155,125,125,100.00%,38,137,18,344,344,344,344,100.00%,13,92,205,139
NJ-516,37,0,0,.,30,7,16,36,1,30,0,0,0.00%,0,0,15,30,0,7,7,0,0,.,1,6,1,15,15,15,15,100.00%,6,0,0,15
NJ-517,19,19,4,21.10%,19,0,7,19,0,19,19,4,21.10%,0,0,7,19,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,0
NJ-518,20,0,0,.,0,20,4,20,0,0,0,0,0.00%,0,0,0,0,0,20,20,0,0,.,4,20,0,6,6,6,6,100.00%,6,0,0,6
NJ-519,49,49,49,100.00%,49,0,8,35,14,49,49,49,100.00%,0,6,8,35,14,0,0,0,0,0.00%,0,0,0,6,6,6,6,100.00%,6,0,0,6
NJ-520,126,114,82,71.90%,90,36,15,104,22,90,78,76,97.40%,56,38,9,68,22,36,36,36,6,16.70%,6,36,0,16,16,16,5,31.30%,0,0,0,16
NM-500,880,718,393,54.70%,329,551,149,444,436,329,244,139,57.00%,276,138,30,112,217,551,551,474,254,53.60%,119,332,219,582,582,582,332,57.00%,174,71,177,405
NM-501,"1,454",877,164,18.70%,"1,062",392,91,834,620,"1,062",638,78,12.20%,279,0,24,584,478,392,392,239,86,36.00%,67,250,142,238,238,238,160,67.20%,149,18,55,183
NV-500,"4,643","4,362","1,516",34.80%,"1,391","3,252",487,"1,512","3,131","1,391","1,337",581,43.50%,217,94,43,159,"1,232","3,252","3,252","3,025",935,30.90%,444,"1,353","1,899",962,962,962,480,49.90%,220,136,435,527
NV-501,652,600,376,62.70%,362,290,48,139,513,362,331,285,86.10%,90,1,13,40,322,290,290,269,91,33.80%,35,99,191,396,396,396,341,86.10%,123,21,65,331
NV-502,376,251,169,67.30%,184,192,52,228,148,184,74,30,40.50%,9,152,23,137,47,192,192,177,139,78.50%,29,91,101,47,47,47,47,100.00%,0,5,10,37
NY-500,625,587,304,51.80%,378,247,109,327,298,378,340,148,43.50%,17,35,56,179,199,247,247,247,156,63.20%,53,148,99,"1,224","1,224","1,224","1,036",84.60%,24,288,852,372
NY-501,264,224,208,92.90%,51,213,24,37,227,51,17,37,217.60%,0,11,14,14,37,213,213,207,171,82.60%,10,23,190,278,278,278,258,92.80%,19,23,59,219
NY-502,52,43,52,120.90%,13,39,3,9,43,13,4,13,325.00%,0,0,0,0,13,39,39,39,39,100.00%,3,9,30,19,19,19,19,100.00%,0,3,7,12
NY-503,419,382,370,96.90%,300,119,45,144,275,300,282,270,95.70%,30,92,34,121,179,119,119,100,100,100.00%,11,23,96,470,470,470,470,100.00%,55,54,138,332
NY-504,95,86,92,107.00%,43,52,23,51,44,43,34,43,126.50%,0,16,14,30,13,52,52,52,49,94.20%,9,21,31,94,94,94,82,87.20%,0,17,37,57
NY-505,"1,486","1,414","1,305",92.30%,569,917,113,292,"1,194",569,497,496,99.80%,0,80,33,98,471,917,917,917,809,88.20%,80,194,723,"1,696","1,696","1,696","1,588",93.60%,242,222,556,"1,140"
NY-507,107,87,65,74.70%,70,37,14,35,72,70,50,28,56.00%,0,70,7,14,56,37,37,37,37,100.00%,7,21,16,324,324,324,324,100.00%,23,43,117,207
NY-508,"1,152","1,098",885,80.60%,653,499,126,387,765,653,617,459,74.40%,0,0,55,175,478,499,499,481,426,88.60%,71,212,287,554,554,554,529,95.50%,20,11,32,522
NY-510,50,0,50,.,22,28,11,50,0,22,-28,22,(   78.6%),0,28,4,22,0,28,28,28,28,100.00%,7,28,0,51,51,51,12,23.50%,12,15,39,12
NY-511,395,375,139,37.10%,154,241,51,129,266,154,134,106,79.10%,16,2,27,67,87,241,241,241,33,13.70%,24,62,179,131,131,131,29,22.10%,65,20,40,91
NY-512,76,60,42,70.00%,37,39,23,52,24,37,37,19,51.40%,0,62,12,30,7,39,39,23,23,100.00%,11,22,17,318,318,304,304,100.00%,56,33,92,226
NY-513,9,0,0,.,9,0,2,9,0,9,0,0,.,0,0,2,9,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0.00%,0,0,0,0
NY-514,116,73,116,158.90%,50,66,34,64,52,50,31,50,161.30%,0,0,9,14,36,66,66,42,66,157.10%,25,50,16,14,14,14,14,100.00%,0,2,4,10
NY-515,29,20,29,145.00%,9,20,2,9,20,9,0,9,0.00%,0,0,2,9,0,20,20,20,20,100.00%,0,0,20,0,0,0,0,0.00%,0,0,0,0
NY-516,65,56,54,96.40%,47,18,8,39,26,47,38,36,94.70%,0,0,8,39,8,18,18,18,18,100.00%,0,0,18,96,96,96,45,46.90%,0,15,66,30
NY-517,28,19,0,0.00%,9,19,6,22,6,9,0,0,0.00%,0,0,1,7,2,19,19,19,0,0.00%,5,15,4,0,0,0,0,0.00%,0,0,0,0
NY-518,460,393,153,38.90%,98,362,44,118,342,98,76,76,100.00%,0,6,21,56,42,362,362,317,77,24.30%,23,62,300,346,346,346,337,97.40%,20,61,179,167
NY-519,182,157,97,61.80%,86,96,24,67,115,86,61,46,75.40%,0,0,16,51,35,96,96,96,51,53.10%,8,16,80,51,51,51,51,100.00%,3,2,4,47
NY-520,5,5,5,100.00%,5,0,0,0,5,5,5,5,100.00%,0,0,0,0,5,0,0,0,0,0.00%,0,0,0,6,6,6,6,100.00%,0,2,4,2
NY-521,39,33,17,51.50%,7,32,4,10,29,7,1,1,100.00%,0,0,2,4,3,32,32,32,16,50.00%,2,6,26,26,26,26,0,0.00%,0,0,0,26
NY-523,93,75,75,100.00%,48,45,10,22,71,48,30,30,100.00%,0,53,7,14,34,45,45,45,45,100.00%,3,8,37,114,114,114,114,100.00%,32,11,23,91
NY-524,222,191,0,0.00%,80,142,9,38,184,80,71,0,0.00%,0,4,3,16,64,142,142,120,0,0.00%,6,22,120,203,203,203,0,0.00%,0,27,56,147
NY-600,"47,216","44,512","38,287",86.00%,"39,385","7,831","9,778","30,614","16,602","39,385","37,138","35,357",95.20%,0,703,"8,795","27,694","11,691","7,831","7,831","7,374","2,930",39.70%,983,"2,920","4,911","20,369","20,369","19,987","4,265",21.30%,"1,785","2,150","6,648","13,721"
NY-601,440,375,333,88.80%,233,207,117,280,160,233,203,173,85.20%,0,23,69,161,72,207,207,172,160,93.00%,48,119,88,150,150,150,119,79.30%,0,35,83,67
NY-602,167,154,73,47.40%,122,45,25,81,86,122,109,28,25.70%,0,70,9,36,86,45,45,45,45,100.00%,16,45,0,437,437,437,243,55.60%,154,106,230,207
NY-603,"1,904","1,904",318,16.70%,"1,542",362,403,"1,454",450,"1,542","1,542",129,8.40%,35,0,349,"1,258",284,362,362,362,189,52.20%,54,196,166,"1,153","1,153","1,153",721,62.50%,48,208,827,326
NY-604,"2,279","2,181",661,30.30%,515,"1,764",462,"1,743",536,515,417,147,35.30%,0,0,56,119,396,"1,764","1,764","1,764",514,29.10%,406,"1,624",140,764,764,764,763,99.90%,0,98,256,508
NY-605,536,440,83,18.90%,370,166,108,344,192,370,355,33,9.30%,125,0,74,238,132,166,166,85,50,58.80%,34,106,60,736,736,736,599,81.40%,0,175,499,237
NY-606,505,505,108,21.40%,63,442,29,80,425,63,63,15,23.80%,0,0,19,55,8,442,442,442,93,21.00%,10,25,417,225,225,225,104,46.20%,12,43,84,141
NY-607,117,99,0,0.00%,28,89,3,9,108,28,10,0,0.00%,0,159,3,9,19,89,89,89,0,0.00%,0,0,89,72,72,72,0,0.00%,30,0,0,72
NY-608,251,234,173,73.90%,111,140,35,79,172,111,94,94,100.00%,0,36,26,59,52,140,140,140,79,56.40%,9,20,120,264,264,264,196,74.20%,28,42,101,163
NY-609,172,140,161,115.00%,87,85,24,79,93,87,55,76,138.20%,10,0,16,51,36,85,85,85,85,100.00%,8,28,57,61,61,61,56,91.80%,0,2,7,54
OH-500,"1,053",919,937,102.00%,659,394,122,409,644,659,594,594,100.00%,0,69,59,226,433,394,394,325,343,105.50%,63,183,211,"1,330","1,330","1,330","1,330",100.00%,180,127,412,918
OH-501,876,819,719,87.80%,442,434,138,386,490,442,414,351,84.80%,0,50,69,181,261,434,434,405,368,90.90%,69,205,229,205,205,205,205,100.00%,34,54,123,82
OH-502,"1,990","1,945","1,474",75.80%,"1,122",868,211,604,"1,386","1,122","1,077",769,71.40%,0,241,106,305,817,868,868,868,705,81.20%,105,299,569,"3,373","3,373","3,373","1,777",52.70%,785,442,"1,163","2,210"
OH-503,"1,249","1,215","1,160",95.50%,"1,090",159,151,609,640,"1,090","1,056","1,010",95.60%,124,115,127,554,536,159,159,159,150,94.30%,24,55,104,"1,772","1,772","1,772","1,724",97.30%,822,218,631,"1,141"
OH-504,327,300,154,51.30%,173,154,45,155,172,173,146,0,0.00%,0,0,11,36,137,154,154,154,154,100.00%,34,119,35,205,205,205,205,100.00%,55,37,120,85
OH-505,762,725,673,92.80%,502,260,131,350,412,502,465,433,93.10%,0,56,69,202,300,260,260,260,240,92.30%,62,148,112,694,694,694,694,100.00%,176,141,344,350
OH-506,713,607,283,46.60%,321,392,89,308,405,321,263,84,31.90%,0,99,36,124,197,392,392,344,199,57.80%,53,184,208,352,352,352,324,92.00%,70,27,63,289
OH-507,"4,796","3,940","2,708",68.70%,"2,337","2,459",856,"2,522","2,274","2,337","1,714","1,046",61.00%,155,225,361,"1,123","1,214","2,459","2,459","2,226","1,662",74.70%,495,"1,399","1,060","2,302","2,302","2,302",933,40.50%,170,367,849,"1,453"
OH-508,406,356,353,99.20%,227,179,102,293,113,227,177,179,101.10%,2,31,45,131,96,179,179,179,174,97.20%,57,162,17,269,269,269,269,100.00%,110,28,71,198
OK-500,433,281,178,63.30%,267,166,62,189,244,267,149,103,69.10%,0,4,26,89,178,166,166,132,75,56.80%,36,100,66,12,12,12,4,33.30%,0,6,12,0
OK-501,687,556,519,93.30%,511,176,76,297,390,511,398,378,95.00%,40,98,48,210,301,176,176,158,141,89.20%,28,87,89,168,168,168,121,72.00%,88,0,0,168
OK-502,"1,297","1,201",268,22.30%,649,648,124,413,884,649,600,33,5.50%,0,152,42,159,490,648,648,601,235,39.10%,82,254,394,164,164,164,140,85.40%,56,4,12,152
OK-503,128,97,20,20.60%,85,43,25,61,67,85,78,10,12.80%,0,6,13,35,50,43,43,19,10,52.60%,12,26,17,51,51,51,51,100.00%,0,7,19,32
OK-504,206,183,146,79.80%,50,156,38,82,124,50,27,2,7.40%,18,3,7,16,34,156,156,156,144,92.30%,31,66,90,26,26,26,16,61.50%,0,4,10,16
OK-505,311,227,156,68.70%,256,55,47,157,154,256,190,119,62.60%,0,0,38,131,125,55,55,37,37,100.00%,9,26,29,24,24,16,14,87.50%,0,5,14,10
OK-506,204,162,124,76.50%,168,36,39,95,109,168,126,114,90.50%,0,12,29,81,87,36,36,36,10,27.80%,10,14,22,0,0,0,0,0.00%,0,0,0,0
OK-507,282,74,56,75.70%,246,36,62,195,87,246,46,32,69.60%,0,10,51,160,86,36,36,28,24,85.70%,11,35,1,50,50,0,0,0.00%,0,15,45,5
OR-500,"1,108","1,005",514,51.10%,585,523,167,508,600,585,570,125,21.90%,103,12,51,146,439,523,523,435,389,89.40%,116,362,161,"1,061","1,061","1,061",521,49.10%,0,340,774,287
OR-501,"6,934","6,466","5,229",80.90%,"1,245","5,689",898,"2,680","4,254","1,245","1,067",562,52.70%,464,240,155,441,804,"5,689","5,689","5,399","4,667",86.40%,743,"2,239","3,450","3,575","3,575","3,575","1,116",31.20%,683,385,"1,120","2,455"
OR-502,404,383,66,17.20%,178,226,18,60,344,178,157,4,2.50%,0,6,7,31,147,226,226,226,62,27.40%,11,29,197,502,502,502,4,0.80%,53,65,141,361
OR-503,325,307,226,73.60%,172,153,65,193,132,172,154,106,68.80%,0,34,24,67,105,153,153,153,120,78.40%,41,126,27,0,0,0,0,0.00%,0,0,0,0
OR-504,981,917,229,25.00%,427,554,122,450,531,427,365,17,4.70%,0,27,13,65,362,554,554,552,212,38.40%,109,385,169,258,258,258,52,20.20%,16,5,14,244
OR-505,"2,760","2,512","1,080",43.00%,"1,235","1,525",563,"1,492","1,268","1,235","1,033",131,12.70%,276,822,188,481,754,"1,525","1,525","1,479",949,64.20%,375,"1,011",514,"1,312","1,312","1,246",757,60.80%,62,394,951,361
OR-506,322,222,322,145.00%,100,222,84,262,60,100,72,100,138.90%,0,3,22,91,9,222,222,150,222,148.00%,62,171,51,140,140,124,140,112.90%,37,16,36,104
OR-507,146,114,146,128.10%,38,108,39,117,29,38,20,38,190.00%,0,0,9,34,4,108,108,94,108,114.90%,30,83,25,93,93,93,93,100.00%,29,6,16,77
PA-500,"7,313","7,139","4,100",57.40%,"3,089","4,224","1,177","4,019","3,294","3,089","2,989","2,488",83.20%,432,298,504,"1,664","1,425","4,224","4,224","4,150","1,612",38.80%,673,"2,355","1,869","5,961","5,961","5,961",446,7.50%,599,"1,000","3,773","2,188"
PA-501,319,303,299,98.70%,150,169,70,193,126,150,134,134,100.00%,36,30,26,79,71,169,169,169,165,97.60%,44,114,55,102,102,102,100,98.00%,38,9,26,76
PA-502,806,761,0,0.00%,356,450,177,588,218,356,336,0,0.00%,35,11,64,200,156,450,450,425,0,0.00%,113,388,62,273,273,273,0,0.00%,41,43,140,133
PA-503,208,186,160,86.00%,89,119,28,106,102,89,67,67,100.00%,12,100,6,19,70,119,119,119,93,78.20%,22,87,32,107,107,107,107,100.00%,7,26,65,42
PA-504,467,359,252,70.20%,236,231,100,340,127,236,213,135,63.40%,45,6,36,137,99,231,231,146,117,80.10%,64,203,28,130,130,130,130,100.00%,20,30,82,48
PA-505,347,244,104,42.60%,142,205,83,234,113,142,119,75,63.00%,43,0,24,60,82,205,205,125,29,23.20%,59,174,31,169,169,169,97,57.40%,0,21,54,115
PA-506,515,390,340,87.20%,186,329,107,313,202,186,160,110,68.80%,0,49,27,65,121,329,329,230,230,100.00%,80,248,81,173,173,173,173,100.00%,34,33,118,55
PA-507,"1,475","1,023",127,12.40%,697,778,319,874,601,697,378,27,7.10%,106,81,139,353,344,778,778,645,100,15.50%,180,521,257,289,289,289,132,45.70%,98,14,33,256
PA-508,209,188,209,111.20%,53,156,43,136,73,53,36,53,147.20%,30,7,2,19,34,156,156,152,156,102.60%,41,117,39,24,24,24,24,100.00%,24,0,0,24
PA-509,777,643,143,22.20%,392,385,198,558,219,392,285,58,20.40%,12,10,78,238,154,385,385,358,85,23.70%,120,320,65,252,252,252,189,75.00%,33,36,93,159
PA-510,640,579,426,73.60%,169,471,104,335,305,169,132,90,68.20%,50,3,27,82,87,471,471,447,336,75.20%,77,253,218,121,121,121,81,66.90%,13,25,80,41
PA-511,532,505,0,0.00%,135,397,91,326,206,135,121,0,0.00%,0,2,11,89,46,397,397,384,0,0.00%,80,237,160,190,190,190,0,0.00%,0,0,0,190
PA-600,"1,205","1,117","1,021",91.40%,364,841,279,640,565,364,291,261,89.70%,100,10,72,162,202,841,841,826,760,92.00%,207,478,363,609,609,609,609,100.00%,67,141,466,143
PA-601,717,566,213,37.60%,326,391,131,385,332,326,234,41,17.50%,4,36,47,141,185,391,391,332,172,51.80%,84,244,147,209,209,159,83,52.20%,36,43,111,98
PA-602,482,355,45,12.70%,315,167,99,242,240,315,231,0,0.00%,25,28,64,143,172,167,167,124,45,36.30%,35,99,68,246,246,226,25,11.10%,55,35,85,161
PA-603,128,93,118,126.90%,31,97,15,35,93,31,6,31,516.70%,0,0,10,19,12,97,97,87,87,100.00%,5,16,81,102,102,102,102,100.00%,7,14,42,60
PA-605,391,325,325,100.00%,214,177,80,216,175,214,176,176,100.00%,0,178,23,91,123,177,177,149,149,100.00%,57,125,52,237,237,237,234,98.70%,52,20,43,194
PR-502,"1,652","1,436","1,318",91.80%,259,"1,393",65,194,"1,458",259,194,229,118.00%,0,0,17,48,211,"1,393","1,393","1,242","1,089",87.70%,48,146,"1,247",925,925,925,188,20.30%,401,90,234,691
PR-503,920,685,542,79.10%,297,623,53,143,777,297,163,183,112.30%,0,0,28,101,196,623,623,522,359,68.80%,25,42,581,112,112,112,112,100.00%,0,3,6,106
RI-500,"1,456","1,339","1,153",86.10%,753,703,226,819,637,753,664,654,98.50%,17,0,80,356,397,703,703,675,499,73.90%,146,463,240,943,943,943,671,71.20%,196,120,335,608
SC-500,701,636,341,53.60%,403,298,85,291,410,403,338,204,60.40%,0,0,49,206,197,298,298,298,137,46.00%,36,85,213,81,81,81,44,54.30%,10,2,6,75
SC-501,"1,366","1,223",978,80.00%,652,714,151,574,792,652,518,492,95.00%,213,242,45,250,402,714,714,705,486,68.90%,106,324,390,125,125,125,108,86.40%,56,8,20,105
SC-502,802,651,443,68.00%,338,464,92,313,489,338,187,111,59.40%,170,94,46,179,159,464,464,464,332,71.60%,46,134,330,369,369,349,282,80.80%,42,79,225,144
SC-503,619,584,539,92.30%,258,361,109,328,291,258,223,208,93.30%,0,17,48,115,143,361,361,361,331,91.70%,61,213,148,217,217,217,211,97.20%,0,18,63,154
SC-504,386,121,380,314.00%,119,267,70,76,310,119,69,119,172.50%,0,5,50,50,69,267,267,52,261,501.90%,20,26,241,76,76,76,38,50.00%,0,10,38,38
SD-500,"1,416",994,298,30.00%,717,699,213,624,792,717,300,155,51.70%,6,42,139,406,311,699,699,694,143,20.60%,74,218,481,298,298,298,214,71.80%,197,30,101,197
TN-500,407,355,314,88.50%,275,132,53,159,248,275,251,201,80.10%,20,20,27,83,192,132,132,104,113,108.70%,26,76,56,714,714,714,470,65.80%,183,147,350,364
TN-501,"1,745","1,661","1,417",85.30%,532,"1,213",230,702,"1,043",532,505,281,55.60%,0,143,44,143,389,"1,213","1,213","1,156","1,136",98.30%,186,559,654,374,374,374,325,86.90%,120,68,194,180
TN-502,847,793,690,87.00%,429,418,46,162,685,429,375,382,101.90%,0,0,20,76,353,418,418,418,308,73.70%,26,86,332,132,132,132,97,73.50%,45,24,32,100
TN-503,341,228,152,66.70%,192,149,14,93,248,192,93,43,46.20%,0,0,6,59,133,149,149,135,109,80.70%,8,34,115,136,136,136,136,100.00%,28,13,58,78
TN-504,"1,360","1,260",68,5.40%,804,556,74,354,"1,006",804,732,8,1.10%,214,0,33,216,588,556,556,528,60,11.40%,41,138,418,746,746,746,7,0.90%,188,98,285,461
TN-506,288,144,77,53.50%,207,81,55,155,133,207,117,50,42.70%,2,0,30,86,121,81,81,27,27,100.00%,25,69,12,65,65,65,65,100.00%,0,17,36,29
TN-507,270,203,79,38.90%,85,185,43,132,138,85,44,26,59.10%,0,0,24,68,17,185,185,159,53,33.30%,19,64,121,201,201,201,201,100.00%,40,18,37,164
TN-509,462,407,263,64.60%,369,93,19,70,392,369,314,182,58.00%,11,11,13,46,323,93,93,93,81,87.10%,6,24,69,78,78,78,78,100.00%,71,3,7,71
TN-510,284,262,10,3.80%,113,171,8,35,249,113,91,10,11.00%,0,12,8,35,78,171,171,171,0,0.00%,0,0,171,49,49,49,43,87.80%,5,4,10,39
TN-512,401,332,0,0.00%,124,277,116,367,34,124,55,0,0.00%,0,87,39,112,12,277,277,277,0,0.00%,77,255,22,8,8,8,0,0.00%,0,3,8,0
TX-500,"1,344","1,200",570,47.50%,604,740,242,821,523,604,538,33,6.10%,0,90,78,262,342,740,740,662,537,81.10%,164,559,181,520,520,520,452,86.90%,119,125,372,148
TX-501,630,565,296,52.40%,476,154,75,218,412,476,411,142,34.50%,0,0,50,152,324,154,154,154,154,100.00%,25,66,88,64,64,64,64,100.00%,0,0,0,64
TX-503,"1,414","1,104","1,324",119.90%,732,682,242,776,638,732,597,687,115.10%,525,31,85,277,455,682,682,507,637,125.60%,157,499,183,254,254,254,254,100.00%,35,26,69,185
TX-504,84,58,44,75.90%,48,36,24,37,47,48,22,8,36.40%,0,0,13,26,22,36,36,36,36,100.00%,11,11,25,59,59,59,59,100.00%,19,10,23,36
TX-600,"3,818","3,207",824,25.70%,"2,295","1,523",463,"1,488","2,330","2,295","1,943",151,7.80%,0,214,153,540,"1,755","1,523","1,523","1,264",673,53.20%,310,948,575,731,731,731,666,91.10%,337,71,179,552
TX-601,"2,290","2,046","1,601",78.30%,"1,372",918,377,"1,153","1,137","1,372","1,198",922,77.00%,0,100,108,464,908,918,918,848,679,80.10%,269,689,229,"1,026","1,026","1,026",960,93.60%,163,193,508,518
TX-603,"1,113",992,850,85.70%,617,496,158,554,559,617,517,450,87.00%,0,58,48,189,428,496,496,475,400,84.20%,110,365,131,188,188,188,143,76.10%,62,10,25,163
TX-604,265,206,140,68.00%,104,161,36,131,134,104,45,26,57.80%,0,14,12,44,60,161,161,161,114,70.80%,24,87,74,0,0,0,0,0.00%,0,0,0,0
