,"Total Beds (ES,TH)",,,,,,,,,Emergency Shelter (ES),,,,,,,,,Transitional Housing (TH),,,,,,,,Permanent Supportive Housing (PSH),,,,,,,,
CoC,"Total Year-Round Beds (ES,TH)","Total Non-DV Year-Round Beds (ES,TH)","Total HMIS Year-Round Beds (ES,TH)","HMIS Participation Rate (ES,TH)",Total Emergency Shelter (ES) Beds (excluding seasonal+O/V),Total Transitional Housing (TH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow/Voucher ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children
CA-602,"2,980","1,539",948,61.60%,"1,137","1,843",629,"1,560","1,420","1,137",-102,137,(  134.3%),375,"1,450",110,264,873,"1,843","1,843","1,641",811,49.40%,519,"1,296",547,"1,875","1,875","1,875",65,3.50%,567,249,665,"1,210"
CA-603,"1,075",947,447,47.20%,485,590,85,355,720,485,413,256,62.00%,256,40,42,198,287,590,590,534,191,35.80%,43,157,433,660,660,660,96,14.50%,150,26,80,580
CA-604,972,901,694,77.00%,466,506,86,318,654,466,395,395,100.00%,60,60,39,188,278,506,506,506,299,59.10%,47,130,376,272,272,272,257,94.50%,132,20,76,196
CA-605,236,179,169,94.40%,42,194,49,142,94,42,0,0,0.00%,137,0,14,42,0,194,194,179,169,94.40%,35,100,94,106,106,106,87,82.10%,26,0,0,106
CA-606,"1,660","1,484",525,35.40%,479,"1,181",124,593,"1,067",479,417,113,27.10%,200,677,38,185,294,"1,181","1,181","1,067",412,38.60%,86,408,773,401,401,401,355,88.50%,237,32,68,333
CA-607,262,226,176,77.90%,144,118,24,144,118,144,108,58,53.70%,165,30,9,92,52,118,118,118,118,100.00%,15,52,66,130,130,130,130,100.00%,28,19,72,58
CA-608,"1,436","1,247","1,045",83.80%,614,822,187,685,751,614,464,424,91.40%,285,225,44,237,377,822,822,783,621,79.30%,143,448,374,245,245,245,142,58.00%,115,22,27,218
CA-609,"1,192",856,774,90.40%,510,682,131,734,458,510,329,360,109.40%,30,760,22,266,244,682,682,527,414,78.60%,109,468,214,261,261,261,235,90.00%,0,4,92,169
CA-610,"1,659","1,279","1,259",98.40%,298,"1,361",263,"1,055",604,298,172,187,108.70%,150,19,34,194,104,"1,361","1,361","1,107","1,072",96.80%,229,861,500,373,373,373,373,100.00%,47,102,310,63
CA-611,294,272,69,25.40%,125,169,51,129,165,125,103,1,1.00%,100,24,14,37,88,169,169,169,68,40.20%,37,92,77,27,27,27,21,77.80%,3,4,10,17
CA-612,153,94,138,146.80%,50,103,27,132,21,50,40,50,125.00%,105,0,2,38,12,103,103,54,88,163.00%,25,94,9,126,126,126,16,12.70%,16,32,85,41
CA-613,213,51,179,351.00%,110,103,41,134,79,110,0,110,0.00%,0,0,17,31,79,103,103,51,69,135.30%,24,103,0,84,84,84,0,0.00%,0,23,69,15
CA-614,266,182,0,0.00%,148,118,33,125,141,148,104,0,0.00%,0,11,24,85,63,118,118,78,0,0.00%,9,40,78,40,40,40,0,0.00%,0,0,0,40
CO-500,"1,270",801,796,99.40%,772,498,228,940,330,772,397,397,100.00%,45,40,128,533,239,498,498,404,399,98.80%,100,407,91,166,166,166,166,100.00%,96,11,36,130
CO-503,"4,404","4,217","2,376",56.30%,"1,740","2,664",935,"2,391","2,013","1,740","1,590",822,51.70%,116,394,186,476,"1,264","2,664","2,664","2,627","1,554",59.20%,749,"1,915",749,"1,801","1,801","1,801","1,343",74.60%,794,197,539,"1,262"
CO-504,740,717,425,59.30%,268,472,72,253,487,268,245,210,85.70%,0,90,1,12,256,472,472,472,215,45.60%,71,241,231,143,143,143,80,55.90%,97,6,14,129
CT-500,112,96,43,44.80%,46,66,17,43,69,46,30,0,0.00%,25,2,3,6,40,66,66,66,43,65.20%,14,37,29,77,77,77,45,58.40%,12,8,27,50
CT-501,704,678,545,80.40%,408,296,94,303,401,408,392,360,91.80%,75,45,54,194,214,296,296,286,185,64.70%,40,109,187,640,640,640,492,76.90%,77,93,224,416
CT-502,735,715,604,84.50%,371,364,96,228,507,371,351,263,74.90%,55,122,40,101,270,364,364,364,341,93.70%,56,127,237,638,638,638,554,86.80%,493,34,87,551
CT-503,435,426,318,74.60%,208,227,50,197,238,208,208,184,88.50%,0,12,26,118,90,227,227,218,134,61.50%,24,79,148,621,621,621,505,81.30%,129,94,277,344
CT-504,205,195,135,69.20%,82,123,25,104,101,82,72,82,113.90%,18,4,9,52,30,123,123,123,53,43.10%,16,52,71,186,186,186,186,100.00%,53,34,82,104
CT-505,628,554,423,76.40%,533,95,94,298,330,533,473,371,78.40%,39,25,89,281,252,95,95,81,52,64.20%,5,17,78,581,581,581,467,80.40%,123,81,227,354
CT-506,140,128,128,100.00%,135,5,9,50,90,135,123,123,100.00%,3,50,9,50,85,5,5,5,5,100.00%,0,0,5,144,144,144,144,100.00%,67,17,45,99
CT-507,291,245,255,104.10%,144,147,61,222,69,144,127,122,96.10%,70,2,30,99,45,147,147,118,133,112.70%,31,123,24,200,200,200,75,37.50%,53,40,99,101
CT-508,313,313,236,75.40%,125,188,44,105,208,125,125,102,81.60%,0,23,11,28,97,188,188,188,134,71.30%,33,77,111,118,118,118,108,91.50%,25,0,0,118
CT-509,100,84,84,100.00%,83,17,11,31,69,83,67,67,100.00%,0,13,11,31,52,17,17,17,17,100.00%,0,0,17,122,122,122,64,52.50%,4,38,71,51
CT-510,68,68,68,100.00%,25,43,13,37,31,25,25,25,100.00%,0,0,3,7,18,43,43,43,43,100.00%,10,30,13,42,42,42,42,100.00%,12,11,30,12
CT-512,171,156,156,100.00%,171,0,22,91,80,171,156,156,100.00%,0,0,22,91,80,0,0,0,0,0.00%,0,0,0,135,135,135,135,100.00%,46,22,53,82
DC-500,"5,264","5,161","4,082",79.10%,"3,001","2,263",556,"1,808","3,456","3,001","2,918","2,681",91.90%,718,0,208,716,"2,285","2,263","2,263","2,243","1,401",62.50%,348,"1,092","1,171","3,639","3,639","3,611","1,809",50.10%,0,524,"1,623","2,016"
DE-500,"1,225","1,041",833,80.00%,515,710,113,397,828,515,439,361,82.20%,59,131,53,175,340,710,710,602,472,78.40%,60,222,488,294,294,294,225,76.50%,118,2,6,288
FL-500,725,655,392,59.80%,432,293,57,155,570,432,392,334,85.20%,0,80,16,58,374,293,293,263,58,22.10%,41,97,196,354,354,354,104,29.40%,86,0,0,354
FL-501,"1,050",900,780,86.70%,358,692,148,466,584,358,256,185,72.30%,0,61,40,96,262,692,692,644,595,92.40%,108,370,322,435,435,435,121,27.80%,37,98,238,197
FL-502,"1,382","1,194",702,58.80%,559,823,181,572,810,559,495,363,73.30%,205,0,99,222,337,823,823,699,339,48.50%,82,350,473,358,358,358,336,93.90%,148,21,86,272
FL-503,732,732,528,72.10%,382,350,41,188,544,382,382,212,55.50%,0,115,11,56,326,350,350,350,316,90.30%,30,132,218,81,81,81,81,100.00%,16,32,65,16
FL-504,569,441,422,95.70%,101,468,97,366,203,101,44,44,100.00%,0,0,9,31,70,468,468,397,378,95.20%,88,335,133,90,90,90,47,52.20%,56,11,34,56
FL-505,109,71,30,42.30%,49,60,24,54,55,49,11,0,0.00%,120,60,12,24,25,60,60,60,30,50.00%,12,30,30,43,43,43,43,100.00%,0,2,4,39
FL-506,646,535,350,65.40%,275,371,59,283,363,275,224,98,43.80%,0,85,17,96,179,371,371,311,252,81.00%,42,187,184,252,252,252,146,57.90%,110,54,142,110
FL-507,"2,350","2,035","1,044",51.30%,"1,129","1,221",294,"1,046","1,304","1,129",953,410,43.00%,0,150,101,431,698,"1,221","1,221","1,082",634,58.60%,193,615,606,556,556,556,103,18.50%,40,0,0,556
FL-508,318,241,252,104.60%,170,148,49,130,188,170,107,147,137.40%,72,36,27,76,94,148,148,134,105,78.40%,22,54,94,88,88,88,88,100.00%,47,2,4,84
FL-509,230,204,230,112.70%,82,148,54,162,68,82,56,82,146.40%,0,151,15,50,32,148,148,148,148,100.00%,39,112,36,121,121,121,121,100.00%,114,7,7,114
FL-510,"1,924","1,784","1,375",77.10%,769,"1,155",223,699,"1,225",769,637,570,89.50%,110,232,84,272,497,"1,155","1,155","1,147",805,70.20%,139,427,728,802,802,802,539,67.20%,161,14,31,771
FL-511,665,594,361,60.80%,292,373,41,216,449,292,221,137,62.00%,0,0,22,110,182,373,373,373,224,60.10%,19,106,267,50,50,50,50,100.00%,25,0,0,50
