,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
FL-508,504,428,165,38.60%,253,251,0,72,221,283,0,253,185,53,28.60%,80,45,21,106,147,0,251,251,243,112,46.10%,51,115,136,.,0,0,0,0,0.00%,0,0,458,458,458,434,94.80%,195,31,93,365,0
FL-509,233,185,185,100.00%,97,136,0,63,209,12,12,97,49,49,100.00%,0,0,25,85,0,12,136,136,136,136,100.00%,38,124,12,.,0,0,0,0,0.00%,0,0,306,306,306,295,96.40%,143,69,123,183,0
FL-510,"1,700","1,559","1,279",82.00%,832,868,0,287,820,880,0,832,691,574,83.10%,110,19,95,370,462,0,868,868,868,705,81.20%,192,450,418,.,0,0,0,0,0.00%,0,0,"1,252","1,252","1,252",737,58.90%,268,232,517,735,0
FL-511,822,772,602,78.00%,260,562,0,57,248,574,0,260,210,170,81.00%,0,22,19,89,171,0,562,562,562,432,76.90%,38,159,403,.,0,0,0,0,0.00%,0,0,347,347,347,317,91.40%,146,0,0,347,0
FL-512,218,174,138,79.30%,72,146,0,80,164,54,0,72,28,28,100.00%,0,50,18,36,36,0,146,146,146,110,75.30%,62,128,18,.,0,0,0,0,0.00%,0,0,41,41,41,5,12.20%,0,0,0,41,0
FL-513,873,833,601,72.10%,126,747,0,128,555,318,0,126,106,41,38.70%,132,3,13,58,68,0,747,747,727,560,77.00%,115,497,250,.,0,0,0,0,0.00%,0,0,234,234,234,231,98.70%,44,57,177,57,0
FL-514,417,349,304,87.10%,220,197,0,30,305,112,0,220,152,152,100.00%,30,0,9,176,44,0,197,197,197,152,77.20%,21,129,68,0,0,0,0,0,0.00%,0,0,69,69,69,69,100.00%,10,36,56,13,0
FL-515,272,239,234,97.90%,84,188,0,50,133,139,0,84,51,51,100.00%,16,48,9,39,45,0,188,188,188,183,97.30%,41,94,94,.,0,0,0,0,0.00%,0,0,35,35,35,0,0.00%,0,0,0,35,0
FL-516,71,71,71,100.00%,40,31,0,7,40,31,0,40,40,40,100.00%,0,0,2,30,10,0,31,31,31,31,100.00%,5,10,21,0,0,0,0,0,0.00%,0,0,51,51,51,51,100.00%,6,8,23,28,0
FL-517,125,125,16,12.80%,64,61,0,25,46,79,0,64,64,0,0.00%,0,0,3,8,56,0,61,61,61,16,26.20%,22,38,23,.,0,0,0,0,0.00%,0,0,68,68,68,17,25.00%,28,8,22,46,0
FL-518,107,57,57,100.00%,56,51,0,5,40,55,12,56,14,14,100.00%,0,0,3,32,12,12,51,51,43,43,100.00%,2,8,43,0,0,0,0,0,0.00%,0,0,11,11,11,11,100.00%,11,0,0,11,0
FL-519,224,168,168,100.00%,180,44,0,26,73,139,12,180,124,124,100.00%,0,0,26,73,95,12,44,44,44,44,100.00%,.,.,44,.,0,0,0,0,0.00%,0,0,172,172,172,64,37.20%,144,53,138,34,0
