,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
CoC,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
MI-509,362,315,305,96.80%,197,165,0,75,211,151,0,197,150,150,100.00%,25,34,43,108,89,0,165,165,165,155,93.90%,32,103,62,.,0,0,0,0,0.00%,0,0,305,305,305,210,68.90%,82,30,93,212,0
MI-510,367,259,259,100.00%,163,198,6,47,155,197,15,163,139,139,100.00%,0,5,18,74,79,10,198,198,114,114,100.00%,29,81,112,5,6,6,6,6,100.00%,6,0,647,647,621,620,99.80%,129,141,426,221,0
MI-511,113,57,44,77.20%,63,50,0,24,82,31,0,63,26,13,50.00%,15,5,7,34,29,0,50,50,31,31,100.00%,17,48,2,0,0,0,0,0,0.00%,0,0,103,103,46,42,91.30%,7,19,57,46,0
MI-512,256,153,116,75.80%,116,140,0,44,134,98,24,116,94,88,93.60%,28,27,12,37,70,9,140,140,59,28,47.50%,32,97,28,15,0,0,0,0,0.00%,0,0,198,198,175,171,97.70%,21,45,114,84,0
MI-513,84,68,16,23.50%,64,20,0,20,32,52,0,64,48,0,0.00%,15,0,13,19,45,0,20,20,20,16,80.00%,7,13,7,.,0,0,0,0,0.00%,0,0,39,39,39,31,79.50%,0,9,30,9,0
MI-514,240,194,127,65.50%,182,58,0,27,89,151,0,182,136,73,53.70%,0,0,21,71,111,0,58,58,58,54,93.10%,6,18,40,.,0,0,0,0,0.00%,0,0,205,205,184,19,10.30%,0,9,25,180,0
MI-515,140,122,122,100.00%,106,34,0,29,80,60,0,106,88,88,100.00%,20,0,18,53,53,0,34,34,34,34,100.00%,11,27,7,.,0,0,0,0,0.00%,0,0,13,13,13,13,100.00%,0,2,5,8,0
MI-516,275,228,218,95.60%,149,126,0,18,150,125,0,149,130,120,92.30%,21,3,7,101,48,0,126,126,98,98,100.00%,11,49,77,0,0,0,0,0,0.00%,0,0,424,424,424,388,91.50%,28,69,215,209,0
MI-517,246,172,172,100.00%,108,138,0,49,202,43,1,108,78,78,100.00%,0,10,7,68,40,0,138,138,94,94,100.00%,42,134,3,1,0,0,0,0,0.00%,0,0,64,64,64,64,100.00%,0,12,41,23,0
MI-518,99,48,48,100.00%,47,52,0,60,99,0,0,47,27,27,100.00%,12,0,30,47,0,0,52,52,21,21,100.00%,30,52,.,.,0,0,0,0,0.00%,0,0,22,22,22,12,54.50%,4,12,12,10,0
MI-519,392,286,286,100.00%,158,234,0,89,256,136,0,158,138,138,100.00%,0,10,36,70,88,0,234,234,148,148,100.00%,53,186,48,0,0,0,0,0,0.00%,0,0,253,253,253,253,100.00%,8,49,157,96,0
MI-523,136,106,106,100.00%,56,80,0,29,131,5,0,56,45,45,100.00%,0,2,15,54,2,0,80,80,61,61,100.00%,14,77,3,.,0,0,0,0,0.00%,0,0,10,10,10,10,100.00%,4,1,4,6,0
MN-500,"3,108","2,889","2,116",73.20%,"1,984","1,124",0,709,"2,007","1,101",0,"1,984","1,790","1,343",75.00%,0,374,394,"1,180",804,0,"1,124","1,124","1,099",773,70.30%,315,827,297,.,0,0,0,0,0.00%,0,0,"4,487","4,487","4,451","2,839",63.80%,"1,343",630,"2,085","2,396",6
MN-501,"1,221","1,112",755,67.90%,536,675,10,223,642,555,24,536,427,151,35.40%,0,0,52,193,338,5,675,675,675,594,88.00%,171,449,207,19,10,10,10,10,100.00%,10,0,"2,106","2,106","2,106","2,098",99.60%,926,347,"1,146",951,9
MN-502,408,272,184,67.60%,211,197,0,77,319,86,3,211,130,61,46.90%,23,26,34,141,67,3,197,197,142,123,86.60%,43,178,19,0,0,0,0,0,0.00%,0,0,403,403,403,403,100.00%,151,60,172,231,0
MN-503,662,531,432,81.40%,259,403,0,171,492,170,0,259,128,66,51.60%,0,24,50,171,88,0,403,403,403,366,90.80%,121,321,82,0,0,0,0,0,0.00%,0,0,558,558,558,451,80.80%,77,120,325,233,0
MN-504,84,66,56,84.80%,28,56,0,20,67,16,1,28,25,15,60.00%,0,0,6,16,11,1,56,56,41,41,100.00%,14,51,5,.,0,0,0,0,0.00%,0,0,139,139,128,116,90.60%,19,34,89,50,0
MN-505,457,372,257,69.10%,187,270,0,148,291,166,0,187,112,107,95.50%,50,0,52,142,45,0,270,270,260,150,57.70%,96,149,121,.,0,0,0,0,0.00%,0,0,322,322,322,287,89.10%,20,89,198,124,0
MN-506,264,229,207,90.40%,103,161,0,58,183,67,14,103,76,66,86.80%,20,1,14,58,35,10,161,161,153,141,92.20%,44,125,32,4,0,0,0,0,0.00%,0,0,366,366,366,317,86.60%,27,86,293,73,0
MN-508,177,146,135,92.50%,103,74,0,36,96,81,0,103,72,72,100.00%,0,43,14,40,63,0,74,74,74,63,85.10%,22,56,18,0,0,0,0,0,0.00%,0,0,358,358,358,356,99.40%,49,81,249,109,0
MN-509,398,349,281,80.50%,153,245,0,93,266,120,12,153,104,36,34.60%,0,0,23,61,80,12,245,245,245,245,100.00%,70,205,40,0,0,0,0,0,0.00%,0,0,579,579,579,579,100.00%,282,92,265,312,2
MN-511,100,87,72,82.80%,33,67,0,27,65,35,0,33,20,17,85.00%,0,6,9,23,10,0,67,67,67,55,82.10%,18,42,25,.,0,0,0,0,0.00%,0,0,141,141,141,114,80.90%,39,33,101,40,0
MO-500,495,456,409,89.70%,152,343,0,99,407,88,0,152,113,113,100.00%,0,0,25,152,0,0,343,343,343,296,86.30%,74,255,88,.,0,0,0,0,0.00%,0,0,197,197,197,189,95.90%,45,78,158,39,0
MO-501,"1,454","1,305",984,75.40%,686,749,19,261,649,801,4,686,627,325,51.80%,31,34,126,239,447,0,749,749,659,659,100.00%,135,410,335,4,19,19,19,0,0.00%,19,0,"1,403","1,403","1,403","1,327",94.60%,240,204,723,680,0
MO-503,379,331,99,29.90%,114,265,0,89,273,98,8,114,66,54,81.80%,0,137,23,81,27,6,265,265,265,45,17.00%,66,192,71,2,0,0,0,0,0.00%,0,0,58,58,58,40,69.00%,2,7,26,32,0
MO-600,619,468,339,72.40%,197,422,0,133,385,234,0,197,116,77,66.40%,80,0,41,97,100,0,422,422,352,262,74.40%,92,288,134,.,0,0,0,0,0.00%,0,0,103,103,103,72,69.90%,35,32,49,54,0
MO-602,978,924,348,37.70%,673,305,0,428,546,432,0,673,673,97,14.40%,0,834,400,434,239,0,305,305,251,251,100.00%,28,112,193,.,0,0,0,0,0.00%,0,0,131,131,131,94,71.80%,6,26,91,40,0
MO-603,146,83,83,100.00%,95,33,18,16,58,88,0,95,50,50,100.00%,25,10,12,45,50,0,33,33,15,15,100.00%,4,13,20,0,18,18,18,18,100.00%,18,0,191,191,191,191,100.00%,31,39,130,61,0
MO-604,"1,857","1,496","1,306",87.30%,"1,049",798,10,324,945,894,18,"1,049",763,624,81.80%,16,102,139,443,592,14,798,798,723,672,92.90%,185,502,292,4,10,10,10,10,100.00%,10,0,"1,337","1,337","1,337","1,148",85.90%,178,597,763,574,0
MO-606,"2,325","1,343",563,41.90%,"1,522",795,8,299,853,"1,407",65,"1,522",596,300,50.30%,38,48,208,598,859,65,795,795,739,255,34.50%,91,255,540,.,8,8,8,8,100.00%,8,0,"1,028","1,028","1,028",870,84.60%,66,191,520,508,0
MS-500,585,502,356,70.90%,215,370,0,26,248,337,0,215,175,164,93.70%,0,17,6,111,104,0,370,370,327,192,58.70%,20,137,233,0,0,0,0,0,0.00%,0,0,207,207,207,207,100.00%,0,0,0,207,0
MS-501,861,583,412,70.70%,554,307,0,137,481,297,83,554,281,162,57.70%,0,14,90,328,199,27,307,307,302,250,82.80%,47,153,98,56,0,0,0,0,0.00%,0,0,112,112,112,87,77.70%,27,12,32,80,0
MS-503,96,51,51,100.00%,83,13,0,21,48,48,0,83,38,38,100.00%,0,0,20,45,38,0,13,13,13,13,100.00%,1,3,10,.,0,0,0,0,0.00%,0,0,39,39,39,39,100.00%,26,3,8,31,0
MT-500,"1,411","1,094",381,34.80%,687,724,0,241,745,665,1,687,494,72,14.60%,30,121,83,297,389,1,724,724,600,309,51.50%,158,448,276,0,0,0,0,0,0.00%,0,0,510,510,510,510,100.00%,68,56,132,378,0
NC-500,533,498,350,70.30%,327,206,0,63,209,324,0,327,298,221,74.20%,12,47,21,77,250,0,206,206,200,129,64.50%,42,132,74,0,0,0,0,0,0.00%,0,0,397,397,397,291,73.30%,110,61,186,211,0
NC-501,502,445,429,96.40%,192,310,0,44,113,384,5,192,167,161,96.40%,15,63,18,53,139,0,310,310,278,268,96.40%,26,60,245,5,0,0,0,0,0.00%,0,0,321,321,321,204,63.60%,175,32,46,275,0
NC-502,710,682,339,49.70%,329,381,0,52,176,534,0,329,311,161,51.80%,0,15,21,75,254,0,381,381,371,178,48.00%,31,101,280,0,0,0,0,0,0.00%,0,0,171,171,171,162,94.70%,44,19,65,106,0
NC-503,"3,200","2,364","1,560",66.00%,"2,036","1,164",0,373,"1,450","1,739",11,"2,036","1,250",861,68.90%,134,51,207,879,"1,148",9,"1,164","1,164","1,114",699,62.70%,166,571,591,2,0,0,0,0,0.00%,0,0,925,925,925,878,94.90%,149,183,499,426,0
NC-504,810,766,756,98.70%,378,432,0,109,354,444,12,378,378,374,98.90%,97,21,37,120,246,12,432,432,388,382,98.50%,72,234,198,.,0,0,0,0,0.00%,0,0,296,296,296,279,94.30%,64,75,207,89,0
NC-505,"2,102","1,991","1,822",91.50%,726,"1,376",0,294,"1,025","1,068",9,726,690,669,97.00%,198,0,34,102,615,9,"1,376","1,376","1,301","1,153",88.60%,260,923,453,0,0,0,0,0,0.00%,0,0,574,574,574,574,100.00%,317,75,203,371,0
NC-506,482,387,245,63.30%,334,148,0,66,218,264,0,334,281,202,71.90%,0,0,46,136,198,0,148,148,106,43,40.60%,20,82,66,.,0,0,0,0,0.00%,0,0,181,181,181,87,48.10%,0,10,30,151,0
NC-507,966,927,843,90.90%,505,461,0,109,294,666,6,505,466,460,98.70%,0,0,43,147,352,6,461,461,461,383,83.10%,66,147,314,.,0,0,0,0,0.00%,0,0,887,887,887,680,76.70%,96,144,368,519,0
NC-509,213,186,156,83.90%,107,93,13,24,66,138,9,107,93,93,100.00%,14,9,18,48,50,9,93,93,93,63,67.70%,6,18,75,.,13,13,0,0,0.00%,13,0,151,151,151,122,80.80%,55,43,74,77,0
NC-511,316,269,225,83.60%,131,185,0,55,192,124,0,131,117,93,79.50%,0,10,9,33,98,0,185,185,152,132,86.80%,46,159,26,0,0,0,0,0,0.00%,0,0,154,154,154,154,100.00%,0,34,118,36,0
NC-513,100,100,100,100.00%,64,36,0,10,36,64,0,64,64,64,100.00%,0,22,0,0,64,0,36,36,36,36,100.00%,10,36,.,.,0,0,0,0,0.00%,0,0,103,103,103,101,98.10%,13,23,73,30,0
NC-516,137,63,53,84.10%,104,33,0,25,57,80,0,104,34,24,70.60%,2,13,21,41,63,0,33,33,29,29,100.00%,4,16,17,0,0,0,0,0,0.00%,0,0,38,38,32,32,100.00%,0,4,10,28,0
ND-500,724,561,545,97.10%,567,157,0,97,302,422,0,567,467,451,96.60%,0,33,74,207,360,0,157,157,94,94,100.00%,23,95,62,.,0,0,0,0,0.00%,0,0,496,496,496,375,75.60%,111,64,147,349,0
NE-500,991,708,542,76.60%,473,518,0,224,641,324,26,473,246,105,42.70%,0,4,96,293,154,26,518,518,462,437,94.60%,128,348,170,0,0,0,0,0,0.00%,0,0,219,219,219,58,26.50%,14,35,74,145,0
NE-501,"1,597","1,493","1,436",96.20%,888,709,0,187,620,965,12,888,825,814,98.70%,0,284,75,275,601,12,709,709,668,622,93.10%,112,345,364,0,0,0,0,0,0.00%,0,0,538,538,538,331,61.50%,126,72,245,293,0
NE-502,"1,079",894,751,84.00%,327,752,0,160,609,432,38,327,277,277,100.00%,0,95,3,165,146,16,752,752,617,474,76.80%,157,444,286,22,0,0,0,0,0.00%,0,0,65,65,65,65,100.00%,11,4,8,57,0
NH-500,751,593,502,84.70%,448,303,0,142,465,286,0,448,318,318,100.00%,133,0,77,238,210,0,303,303,275,184,66.90%,65,227,76,.,0,0,0,0,0.00%,0,0,339,339,339,275,81.10%,64,45,168,171,0
NH-501,350,332,332,100.00%,158,188,4,75,187,160,3,158,140,140,100.00%,0,13,22,58,97,3,188,188,188,188,100.00%,53,129,59,.,4,4,4,4,100.00%,4,0,319,319,319,200,62.70%,29,71,200,119,0
NH-502,252,252,228,90.50%,69,178,5,40,125,127,0,69,69,45,65.20%,0,0,6,20,49,0,178,178,178,178,100.00%,34,105,73,.,5,5,5,5,100.00%,5,0,220,220,220,220,100.00%,115,34,83,137,0
NJ-500,415,381,381,100.00%,399,16,0,28,87,328,0,399,381,381,100.00%,0,135,24,71,328,0,16,16,0,.,.,4,16,0,.,0,0,0,0,0.00%,0,0,58,58,58,58,100.00%,18,0,0,58,0
NJ-501,356,277,277,100.00%,136,220,0,62,178,178,0,136,104,104,100.00%,15,96,15,39,97,0,220,220,173,173,100.00%,47,139,81,0,0,0,0,0,0.00%,0,0,251,251,251,205,81.70%,99,14,32,219,0
NJ-502,528,501,432,86.20%,490,38,0,101,393,135,0,490,463,394,85.10%,42,372,97,365,125,0,38,38,38,38,100.00%,4,28,10,.,0,0,0,0,0.00%,0,0,131,131,131,131,100.00%,24,19,74,57,0
NJ-503,408,372,372,100.00%,161,247,0,54,168,223,17,161,125,125,100.00%,0,264,37,101,60,0,247,247,247,247,100.00%,17,67,163,17,0,0,0,0,0.00%,0,0,318,318,318,156,49.10%,49,45,77,241,0
NJ-504,"2,123","2,108","2,108",100.00%,"1,412",711,0,310,851,"1,272",0,"1,412","1,412","1,412",100.00%,0,15,148,344,"1,068",0,711,711,696,696,100.00%,162,507,204,.,0,0,0,0,0.00%,0,0,867,867,867,867,100.00%,190,105,319,548,0
NJ-505,150,76,66,86.80%,108,42,0,47,102,44,4,108,42,38,90.50%,0,57,32,68,36,4,42,42,34,28,82.40%,15,34,8,.,0,0,0,0,0.00%,0,0,45,45,45,45,100.00%,4,5,10,35,0
NJ-506,528,462,445,96.30%,279,249,0,94,260,266,2,279,255,255,100.00%,0,"1,333",29,89,190,0,249,249,207,190,91.80%,65,171,76,2,0,0,0,0,0.00%,0,0,279,279,275,190,69.10%,59,21,67,212,0
NJ-507,381,360,340,94.40%,172,209,0,85,244,137,0,172,151,151,100.00%,35,514,34,112,60,0,209,209,209,189,90.40%,51,132,77,0,0,0,0,0,0.00%,0,0,134,134,134,71,53.00%,31,19,47,87,0
NJ-508,277,219,201,91.80%,100,177,0,61,188,89,0,100,75,75,100.00%,14,376,12,39,61,0,177,177,144,126,87.50%,49,149,28,0,0,0,0,0,0.00%,0,0,262,262,262,218,83.20%,108,19,57,205,0
NJ-509,280,222,222,100.00%,132,128,20,47,128,152,0,132,99,99,100.00%,0,29,25,74,58,0,128,128,103,103,100.00%,22,54,74,0,20,20,20,20,100.00%,20,0,139,139,139,127,91.40%,7,20,56,83,0
NJ-510,118,52,12,23.10%,67,51,0,30,87,7,24,67,40,0,0.00%,0,546,14,49,6,12,51,51,12,12,100.00%,16,38,1,12,0,0,0,0,0.00%,0,0,84,84,84,60,71.40%,27,16,51,33,0
NJ-511,517,317,277,87.40%,410,107,0,110,343,174,0,410,255,215,84.30%,0,0,73,254,156,0,107,107,62,62,100.00%,37,89,18,.,0,0,0,0,0.00%,0,0,529,529,529,425,80.30%,258,23,69,460,0
NJ-512,58,58,58,100.00%,28,30,0,20,38,20,0,28,28,28,100.00%,0,0,5,14,14,0,30,30,30,30,100.00%,15,24,6,0,0,0,0,0,0.00%,0,0,75,75,75,75,100.00%,0,0,0,75,0
NJ-513,364,322,155,48.10%,190,174,0,35,88,242,34,190,175,60,34.30%,0,41,25,55,119,16,174,174,147,95,64.60%,10,33,123,18,0,0,0,0,0.00%,0,0,127,127,127,32,25.20%,11,2,5,122,0
NJ-514,681,635,635,100.00%,269,412,0,152,398,273,10,269,245,245,100.00%,0,314,53,154,115,0,412,412,390,390,100.00%,99,244,158,10,0,0,0,0,0.00%,0,0,897,897,897,545,60.80%,208,124,352,545,0
NJ-515,344,307,303,98.70%,219,125,0,67,185,159,0,219,193,189,97.90%,14,"1,121",28,70,149,0,125,125,114,114,100.00%,39,115,10,.,0,0,0,0,0.00%,0,0,319,319,289,289,100.00%,37,50,145,174,0
NJ-516,218,93,70,75.30%,159,59,0,74,209,9,0,159,84,70,83.30%,0,100,53,151,8,0,59,59,9,0,0.00%,21,58,1,0,0,0,0,0,0.00%,0,0,60,60,51,37,72.50%,23,7,18,42,0
NJ-518,50,14,0,0.00%,14,36,0,11,50,0,0,14,14,0,0.00%,0,207,5,14,0,0,36,36,0,.,.,6,36,0,0,0,0,0,0,0.00%,0,0,36,36,36,21,58.30%,20,6,14,22,0
NJ-520,86,86,61,70.90%,81,5,0,14,42,44,0,81,81,56,69.10%,0,10,11,37,44,0,5,5,5,5,100.00%,3,5,.,.,0,0,0,0,0.00%,0,0,5,5,5,5,100.00%,5,0,0,5,0
NM-500,824,641,373,58.20%,348,476,0,122,399,393,32,348,283,123,43.50%,315,37,23,87,229,32,476,476,358,250,69.80%,99,312,164,0,0,0,0,0,0.00%,0,0,"1,004","1,004","1,004",605,60.30%,298,159,416,588,0
NM-501,"1,721","1,209",455,37.60%,"1,070",651,0,196,959,722,40,"1,070",690,177,25.70%,185,32,78,563,495,12,651,651,519,278,53.60%,118,396,227,28,0,0,0,0,0.00%,0,0,680,680,680,394,57.90%,158,83,227,453,0
NV-500,"3,305","3,049","2,012",66.00%,"2,074","1,206",25,243,847,"2,377",81,"2,074","1,818",859,47.20%,173,110,120,490,"1,545",39,"1,206","1,206","1,206","1,128",93.50%,123,357,807,42,25,25,25,25,100.00%,25,0,"1,804","1,804","1,804",942,52.20%,682,121,383,"1,421",0
NV-501,983,931,566,60.80%,549,434,0,68,234,749,0,549,518,466,90.00%,0,0,45,165,384,0,434,434,413,100,24.20%,23,69,365,0,0,0,0,0,0.00%,0,0,527,527,527,255,48.40%,82,33,90,437,0
NV-502,342,197,159,80.70%,228,114,0,121,272,70,0,228,128,100,78.10%,0,251,48,181,47,0,114,114,69,59,85.50%,73,91,23,.,0,0,0,0,0.00%,0,0,168,168,168,75,44.60%,14,20,73,95,0
NY-500,771,733,656,89.50%,501,258,12,154,390,345,36,501,463,386,83.40%,7,17,82,237,246,18,258,258,258,258,100.00%,72,153,87,18,12,12,12,12,100.00%,12,0,"1,602","1,602","1,602","1,494",93.30%,101,535,873,729,0
NY-501,380,334,219,65.60%,95,285,0,39,108,271,1,95,61,35,57.40%,0,16,24,58,37,0,285,285,273,184,67.40%,15,50,234,1,0,0,0,0,0.00%,0,0,411,411,411,356,86.60%,0,39,136,275,0
NY-502,77,68,39,57.40%,52,25,0,18,43,34,0,52,43,30,69.80%,0,0,11,18,34,0,25,25,25,9,36.00%,7,25,0,0,0,0,0,0,0.00%,0,0,38,38,38,38,100.00%,5,8,21,17,0
NY-503,443,397,297,74.80%,308,135,0,47,145,285,13,308,278,188,67.60%,19,150,32,115,180,13,135,135,119,109,91.60%,15,30,105,0,0,0,0,0,0.00%,0,0,787,787,787,610,77.50%,69,136,339,448,0
NY-504,41,33,30,90.90%,24,17,0,16,33,8,0,24,16,13,81.30%,0,9,8,18,6,0,17,17,17,17,100.00%,8,15,2,.,0,0,0,0,0.00%,0,0,51,51,51,46,90.20%,2,9,15,36,0
NY-505,768,732,724,98.90%,379,389,0,65,172,562,34,379,343,335,97.70%,0,38,21,73,291,15,389,389,389,389,100.00%,44,99,271,19,0,0,0,0,0.00%,0,0,"1,066","1,066","1,066","1,050",98.50%,145,114,292,774,0
NY-506,30,0,0,.,30,0,0,6,20,10,0,30,0,0,0.00%,15,47,6,20,10,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,31,31,31,0,0.00%,0,0,0,31,0
NY-507,204,184,50,27.20%,158,46,0,34,78,126,0,158,138,29,21.00%,0,198,25,50,108,0,46,46,46,21,45.70%,9,28,18,.,0,0,0,0,0.00%,0,0,421,421,421,421,100.00%,40,69,162,259,0
NY-508,987,869,637,73.30%,565,406,16,148,470,502,15,565,535,335,62.60%,0,0,52,193,359,13,406,406,318,286,89.90%,96,277,127,2,16,16,16,16,100.00%,16,0,942,942,942,726,77.10%,83,88,227,715,0
NY-509,42,24,0,0.00%,32,10,0,6,15,25,2,32,14,0,0.00%,0,0,5,13,19,0,10,10,10,0,0.00%,1,2,6,2,0,0,0,0,0.00%,0,0,15,15,15,0,0.00%,15,5,13,2,0
NY-510,58,49,49,100.00%,22,36,0,13,31,27,0,22,13,13,100.00%,0,2,5,9,13,0,36,36,36,36,100.00%,8,22,14,.,0,0,0,0,0.00%,0,0,57,57,57,57,100.00%,26,6,22,35,0
NY-511,329,294,210,71.40%,181,148,0,73,108,221,0,181,146,91,62.30%,2,4,69,92,89,0,148,148,148,119,80.40%,4,16,132,.,0,0,0,0,0.00%,0,0,255,255,255,230,90.20%,60,42,96,159,0
NY-512,119,92,92,100.00%,83,36,0,31,72,47,0,83,65,65,100.00%,10,71,17,41,42,0,36,36,27,27,100.00%,14,31,5,0,0,0,0,0,0.00%,0,0,535,535,508,497,97.80%,46,94,296,239,0
NY-513,121,112,29,25.90%,97,24,0,13,37,84,0,97,88,11,12.50%,0,0,13,37,60,0,24,24,24,18,75.00%,0,0,24,0,0,0,0,0,0.00%,0,0,40,40,40,40,100.00%,2,7,21,19,0
NY-514,80,74,38,51.40%,54,26,0,14,45,35,0,54,48,26,54.20%,0,0,9,26,28,0,26,26,26,12,46.20%,5,19,7,.,0,0,0,0,0.00%,0,0,37,37,37,37,100.00%,0,8,21,16,0
NY-516,150,141,121,85.80%,92,58,0,16,59,91,0,92,83,83,100.00%,0,93,16,59,33,0,58,58,58,38,65.50%,.,.,58,.,0,0,0,0,0.00%,0,0,100,100,100,100,100.00%,14,21,72,28,0
NY-517,92,83,50,60.20%,24,68,0,16,56,36,0,24,15,0,0.00%,0,1,1,7,17,0,68,68,68,50,73.50%,15,49,19,.,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
NY-518,219,152,69,45.40%,140,79,0,48,124,94,1,140,112,46,41.10%,0,10,28,66,73,1,79,79,40,23,57.50%,20,58,21,0,0,0,0,0,0.00%,0,0,525,525,525,471,89.70%,41,100,258,267,0
NY-519,37,0,0,.,25,12,0,14,37,0,0,25,0,0,0.00%,0,115,10,25,0,0,12,12,0,.,.,4,12,0,.,0,0,0,0,0.00%,0,0,46,46,37,36,97.30%,7,10,24,22,0
NY-520,6,6,6,100.00%,6,0,0,0,0,6,0,6,6,6,100.00%,0,0,0,0,6,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0,0
NY-522,88,51,0,0.00%,46,42,0,3,37,51,0,46,9,0,0.00%,0,13,3,37,9,0,42,42,42,0,0.00%,.,.,42,.,0,0,0,0,0.00%,0,0,112,112,112,112,100.00%,3,9,21,91,0
NY-523,130,91,85,93.40%,57,73,0,31,65,65,0,57,41,35,85.40%,0,162,19,33,24,0,73,73,50,50,100.00%,12,32,41,0,0,0,0,0,0.00%,0,0,110,110,100,100,100.00%,11,15,38,72,0
NY-524,230,188,0,0.00%,88,142,0,29,75,143,12,88,61,0,0.00%,0,0,19,49,27,12,142,142,127,0,0.00%,10,26,116,0,0,0,0,0,0.00%,0,0,192,192,192,0,0.00%,0,30,76,116,0
NY-600,"57,922","54,448","50,686",93.10%,"48,784","8,999",139,"11,075","37,227","20,669",26,"48,784","46,629","44,508",95.50%,0,165,"10,104","33,989","14,790",5,"8,999","8,999","7,680","6,039",78.60%,971,"3,238","5,740",21,139,139,139,139,100.00%,139,0,"18,599","18,599","18,221","10,799",59.30%,"7,857","1,594","4,764","13,835",0
NY-601,466,387,297,76.70%,264,202,0,142,287,179,0,264,220,138,62.70%,0,10,95,178,86,0,202,202,167,159,95.20%,47,109,93,.,0,0,0,0,0.00%,0,0,173,173,173,117,67.60%,20,33,76,97,0
NY-602,289,276,241,87.30%,234,55,0,47,137,139,13,234,221,186,84.20%,0,88,31,92,129,13,55,55,55,55,100.00%,16,45,10,0,0,0,0,0,0.00%,0,0,265,265,265,255,96.20%,62,53,151,114,0
NY-603,"2,528","2,416","1,707",70.70%,"1,743",785,0,567,"1,841",673,14,"1,743","1,709","1,085",63.50%,102,892,450,"1,345",384,14,785,785,707,622,88.00%,117,496,289,0,0,0,0,0,0.00%,0,0,"2,188","2,188","2,164","1,700",78.60%,59,368,"1,244",944,0
NY-604,"2,128","2,058","1,859",90.30%,730,"1,398",0,391,"1,345",783,0,730,681,506,74.30%,21,0,93,186,544,0,"1,398","1,398","1,377","1,353",98.30%,298,"1,159",239,.,0,0,0,0,0.00%,0,0,"1,304","1,304","1,304",888,68.10%,131,198,560,744,0
NY-606,115,75,75,100.00%,61,54,0,30,80,29,6,61,46,46,100.00%,30,0,20,55,0,6,54,54,29,29,100.00%,10,25,29,0,0,0,0,0,0.00%,0,0,164,164,164,164,100.00%,25,24,73,91,0
NY-607,19,10,10,100.00%,10,0,9,0,0,19,0,10,10,10,100.00%,0,381,0,0,10,0,0,0,0,0,0.00%,0,0,0,0,9,9,0,.,.,9,.,54,54,54,54,100.00%,12,9,18,36,0
NY-608,321,304,129,42.40%,291,30,0,77,213,94,14,291,274,99,36.10%,0,200,65,201,76,14,30,30,30,30,100.00%,12,12,18,.,0,0,0,0,0.00%,0,0,182,182,182,124,68.10%,35,36,103,79,0
OH-500,"1,552","1,385","1,385",100.00%,640,912,0,228,801,731,20,640,568,568,100.00%,100,88,46,227,393,20,912,912,817,817,100.00%,182,574,338,.,0,0,0,0,0.00%,0,0,"1,851","1,851","1,851","1,673",90.40%,202,230,740,"1,111",0
OH-501,934,875,601,68.70%,474,448,12,107,318,613,3,474,449,232,51.70%,30,1,50,137,334,3,448,448,414,357,86.20%,57,181,267,.,12,12,12,12,100.00%,12,0,"1,037","1,037","1,037",903,87.10%,266,191,484,553,0
