,"Total Beds (ES,TH,SH)",,,,,,,,,,,Emergency Shelter (ES),,,,,,,,,,Transitional Housing (TH),,,,,,,,,Safe Haven (SH),,,,,,,Permanent Supportive Housing (PSH),,,,,,,,,
State,"Total Year-Round Beds (ES,TH,SH)","Total Non-DV Year-Round Beds (ES,TH,SH)","Total HMIS Year-Round Beds (ES,TH,SH)","HMIS Participation Rate (ES,TH,SH)",Total Emergency Shelter (ES) Beds (excluding seasonal+overflow),Total Transitional Housing (TH) Beds,Total Safe Haven (SH) Beds,"Total Units for Households with Children (ES,TH)","Total Beds for Households with Children (ES,TH)","Total Beds for Households without Children (ES,TH,SH)","Total Beds for Households with only Children (ES,TH,SH)",Total Year-Round ES Beds,Total Non-DV Year-Round ES Beds,Total HMIS Year-Round ES Beds,ES HMIS Participation Rate,Total Seasonal ES Beds,Total Overflow ES Beds,Total ES Units for Households with Children,Total ES Beds for Households with Children,Total ES Beds for Households without Children,Total ES Beds for Households with only Children,Total TH Beds,Total Year-Round TH Beds,Total Non-DV Year-Round TH Beds,Total HMIS Year-Round TH Beds,TH HMIS Participation Rate,Total TH Units for Households with Children,Total TH Beds for Households with Children,Total TH Beds for Households without Children,Total TH Beds for Households with only Children,Total SH Beds,Total Year-Round SH Beds,Total Non-DV Year-Round SH Beds,Total HMIS Year-Round SH Beds,SH HMIS Participation Rate,Total SH Beds for Households without Children,Total SH Beds for Households with only Children,Total PSH Beds,Total Year-Round PSH Beds,Total Non-DV Year-Round PSH Beds,Total HMIS Year-Round PSH Beds,PSH HMIS Participation Rate,Total Chronic Homeless PSH Beds,Total PSH Units for Households with Children,Total PSH Beds for Households with Children,Total PSH Beds for Households without Children,Total PSH Beds for Households with only Children
MO,"8,253","6,406","4,131",64.50%,"4,488","3,710",55,"1,649","4,116","4,042",95,"4,488","3,004","1,640",54.60%,190,"1,165",974,"2,089","2,314",85,"3,710","3,710","3,347","2,455",73.30%,675,"2,027","1,673",10,55,55,55,36,65.50%,55,0,"4,448","4,448","4,448","3,931",88.40%,603,"1,174","2,460","1,988",0
MS,"1,542","1,136",819,72.10%,852,690,0,184,777,682,83,852,494,364,73.70%,0,31,116,484,341,27,690,690,642,455,70.90%,68,293,341,56,0,0,0,0,0.00%,0,0,358,358,358,333,93.00%,53,15,40,318,0
MT,"1,411","1,094",381,34.80%,687,724,0,241,745,665,1,687,494,72,14.60%,30,121,83,297,389,1,724,724,600,309,51.50%,158,448,276,0,0,0,0,0,0.00%,0,0,510,510,510,510,100.00%,68,56,132,378,0
NC,"10,071","8,678","6,878",79.30%,"5,233","4,825",13,"1,224","4,190","5,829",52,"5,233","4,149","3,383",81.50%,472,251,475,"1,711","3,477",45,"4,825","4,825","4,529","3,495",77.20%,749,"2,479","2,339",7,13,13,0,0,0.00%,13,0,"4,198","4,198","4,192","3,564",85.00%,"1,023",703,"1,879","2,319",0
ND,724,561,545,97.10%,567,157,0,97,302,422,0,567,467,451,96.60%,0,33,74,207,360,0,157,157,94,94,100.00%,23,95,62,.,0,0,0,0,0.00%,0,0,496,496,496,375,75.60%,111,64,147,349,0
NE,"3,667","3,095","2,729",88.20%,"1,688","1,979",0,571,"1,870","1,721",76,"1,688","1,348","1,196",88.70%,0,383,174,733,901,54,"1,979","1,979","1,747","1,533",87.80%,397,"1,137",820,22,0,0,0,0,0.00%,0,0,822,822,822,454,55.20%,151,111,327,495,0
NH,"1,353","1,177","1,062",90.20%,675,669,9,257,777,573,3,675,527,503,95.40%,133,13,105,316,356,3,669,669,641,550,85.80%,152,461,208,.,9,9,9,9,100.00%,9,0,878,878,878,695,79.20%,208,150,451,427,0
NJ,"7,882","6,862","6,415",93.50%,"4,826","3,036",20,"1,402","4,039","3,752",91,"4,826","4,222","3,897",92.30%,120,"5,530",720,"2,100","2,694",32,"3,036","3,036","2,620","2,498",95.30%,682,"1,939","1,038",59,20,20,20,20,100.00%,20,0,"4,616","4,616","4,573","3,557",77.80%,"1,178",495,"1,393","3,223",0
NM,"2,545","1,850",828,44.80%,"1,418","1,127",0,318,"1,358","1,115",72,"1,418",973,300,30.80%,500,69,101,650,724,44,"1,127","1,127",877,528,60.20%,217,708,391,28,0,0,0,0,0.00%,0,0,"1,684","1,684","1,684",999,59.30%,456,242,643,"1,041",0
NV,"4,630","4,177","2,737",65.50%,"2,851","1,754",25,432,"1,353","3,196",81,"2,851","2,464","1,425",57.80%,173,361,213,836,"1,976",39,"1,754","1,754","1,688","1,287",76.20%,219,517,"1,195",42,25,25,25,25,100.00%,25,0,"2,499","2,499","2,499","1,272",50.90%,778,174,546,"1,953",0
